Time (ns)	RMSD	RMSF	rGyr	SASA
39.2	4.318		5.183	260.313
39.4	3.796		5.157	219.708
39.6	5.764		5.031	163.627
39.8	6.835		5.267	228.514
40	4.56		5.051	203.148
40.2	4.012		5.208	226.325
40.4	4.085		5.099	224.078
40.6	5.814		5.188	213.878
40.8	5.542		5.266	202.654
41	5.878		5.352	297.543
41.2	5.499		5.391	230.08
41.4	2.969		5.138	222.345
41.6	4.31		5.485	330.235
41.8	4.953		5.278	228.096
42	5.167		5.028	234.364
42.2	4.314		5.115	202.473
42.4	5.553		5.135	223.903
42.6	5.284		5.108	182.55
42.8	6.061		5.225	228.605
43	5.401		5.116	216.065
43.2	5.807		5.324	204.914
43.4	3.93		5.224	250.852
43.6	6.225		5.083	182.694
43.8	5.943		5.157	171.919
44	4.898		5.118	165.553
44.2	5.43		5.152	176.755
44.4	6.038		5.107	171.051
44.6	5.694		5.048	177.514
44.8	6.073		5.138	205.187
45	5.615		5.155	219.101
45.2	5.317		5.084	241.484
45.4	5.98		5.13	209.205
45.6	4.731		5.282	226.377
45.8	7.192		5.121	203.191
46	6.661		5.355	263.36
46.2	5.599		5.069	174.386
46.4	6.097		5.097	183.253
46.6	5.857		5.147	196.524
46.8	5.814		5.109	209.921
47	5.897		5.145	154.732
47.2	6.796		5.483	193.286
47.4	6.954		5.432	163.683
47.6	6.634		5.432	170.044
47.8	6.645		5.352	183.061
48	7.038		5.522	201.398
48.2	6.741		5.472	201.381
48.4	7.238		5.488	201.077
48.6	5.057		5.125	155.907
48.8	5.223		4.986	164.237
49	6.413		5.421	233.907
49.2	4.884		5.229	254.65
49.4	4.634		5.319	232.665
49.6	6.671		5.416	225.886
49.8	6.164		5.461	211.502
50	3.907		4.916	191.453
50.2	5.863		5.22	176.624
50.4	4.869		4.989	218.028
50.6	7.002		5.278	243.003
50.8	6.356		5.493	237.446
51	7.143		5.287	228.058
51.2	5.928		5.423	287.928
51.4	6.072		5.12	210.756
51.6	4.111		4.843	218.068
51.8	5.574		5.116	248.324
52	6.294		5.384	266.085
52.2	4.51		5.166	243.993
52.4	4.774		5.338	287.519
52.6	4.224		4.76	216.89
52.8	4.446		4.989	216.151
53	7.741		5.415	195.683
53.2	6.461		5.574	251.019
53.4	7.682		5.341	206.515
53.6	7.561		5.401	192.56
53.8	7.606		5.544	219.323
54	7.919		5.51	185.466
54.2	7.616		5.337	188.103
54.4	6.592		5.384	195.302
54.6	6.373		5.373	181.849
54.8	7.258		5.524	201.905
55	7.142		5.336	205.187
55.2	5.085		5.217	211.909
55.4	5.776		5.327	188.399
55.6	7.171		5.378	200.045
55.8	7.961		5.274	218.228
56	5.582		5.305	278.552
56.2	3.276		4.746	197.743
56.4	4.107		5.182	275.833
56.6	6.489		5.16	307.934
56.8	6.5		5.059	342.462
57	5.311		5.425	282.82
57.2	3.485		4.87	255.725
57.4	3.27		4.755	257.54
57.6	4.294		5.079	276.26
57.8	4.494		5.023	268.117
58	5.042		5.048	231.669
58.2	3.448		4.745	264.307
58.4	4.352		5.198	277.649
58.6	4.537		4.975	244.104
58.8	4.844		5.183	283.549
59	3.376		4.899	256.616
59.2	4.182		4.966	209.141
59.4	4.186		5.351	256.351
59.6	5.5		5.204	289.92
59.8	6.778		5.283	201.297
60	5.461		5.279	275.195
60.2	4.944		5.273	232.511
60.4	4.925		5.234	261.875
60.6	4.77		5.307	289.859
60.8	4.137		4.967	231.722
61	4.034		5.039	246.503
61.2	4.406		5.006	252.392
61.4	5.009		5.041	247.945
61.6	4.127		4.986	260.007
61.8	6.67		5.392	239.752
62	6.359		5.357	246.743
62.2	6.321		4.972	194.516
62.4	6.525		5.052	193.961
62.6	5.291		5.346	245.664
62.8	6.637		5.121	189.439
63	4.394		5.118	275.263
63.2	5.028		5.141	319.618
63.4	5.349		5.201	246.533
63.6	5.897		5.404	299.352
63.8	6.41		5.436	286.507
64	8.104		5.498	329.879
64.2	3.217		4.737	272.204
64.4	4.154		5.197	265.251
64.6	5.471		5.059	198.458
64.8	5.842		5.105	165.64
65	5.88		5.142	198.287
65.2	5.417		4.9	131.623
65.4	5.938		5.037	154.773
65.6	5.575		5.33	242.544
65.8	5.68		5.198	194.044
66	6.675		5.235	196.501
66.2	5.969		4.961	157.119
66.4	6.349		5.11	170.08
66.6	4.801		5.362	295.112
66.8	5.406		5.105	204.992
67	7.614		5.359	213.536
67.2	6.362		5.292	200.111
67.4	5.291		5.015	190.866
67.6	5.846		5.057	200.644
67.8	5.699		5.019	169.184
68	3.987		5.145	200.505
68.2	5.861		4.87	175.002
68.4	4.125		4.913	210.21
68.6	6.468		5.469	275.221
68.8	5.149		5.019	189.48
69	3.965		5.043	181.802
69.2	5.654		5.089	171.686
69.4	5.669		4.924	210.876
69.6	6.849		5.367	221.816
69.8	6.174		5.111	195.686
70	4.72		5.161	220.723
70.2	7.98		5.383	224.402
70.4	5.139		5.29	216.856
70.6	4.922		5.269	267.445
70.8	3.958		5.139	218.678
71	3.722		4.937	233.356
71.2	5.843		5.185	198.272
71.4	4.845		5.095	220.968
71.6	4.574		5.096	280.628
71.8	4.413		5.202	251.794
72	4.51		4.979	250.625
72.2	4.648		5.027	272.423
72.4	3.476		4.899	222.22
72.6	4.1		4.989	260.421
72.8	5.095		5.111	262.994
73	6.253		5.325	267.962
73.2	4.204		5.108	279.165
73.4	6.845		5.415	207.234
73.6	5.463		5.449	289.93
73.8	4.691		4.999	217.488
74	4.189		5.169	244.154
74.2	5.06		5.318	244.764
74.4	6.265		5.361	223.799
74.6	4.863		5.375	267.873
74.8	5.826		5.428	321.671
75	4.9		5.358	271.127
75.2	6.515		5.383	274.577
75.4	5.201		5.321	290.622
75.6	5.347		5.22	289.094
75.8	6.469		5.259	288.722
76	6.206		5.509	294.121
76.2	5.779		5.325	239.302
76.4	6.407		5.288	223.814
76.6	6.5		5.572	243.544
76.8	7.126		5.501	278.225
77	6.299		5.531	263.187
77.2	7.266		5.498	288.401
77.4	8.545		5.296	258.038
77.6	7.979		5.2	238.537
77.8	7.342		5.331	289.81
78	7.986		5.344	241.515
78.2	6.876		5.273	241.713
78.4	8.441		5.184	248.61
78.6	8.119		5.267	257.528
78.8	8.305		5.156	235.685
79	8.55		5.238	278.689
79.2	7.665		5.111	225.037
79.4	7.668		5.292	249.771
79.6	7.961		5.166	226.577
79.8	8.166		5.19	231.475
80	8.037		5.123	235.757
80.2	8.096		5.334	240.123
80.4	8.039		5.268	246.3
80.6	7.778		5.435	225.431
80.8	7.665		5.459	264.109
81	7.166		5.364	254.349
81.2	7.969		5.244	249.832
81.4	8.199		5.323	265.049
81.6	7.06		5.224	253.505
81.8	7.989		5.347	281.104
82	8.651		5.126	225.661
82.2	8.042		5.491	277.631
82.4	8.621		5.259	234.149
82.6	8.438		5.388	286.107
82.8	8.845		5.096	235.325
83	7.015		5.396	246.455
83.2	7.997		5.43	253.05
83.4	6.919		5.355	263.689
83.6	8.262		5.233	266.984
83.8	8.222		5.19	248.27
84	8.04		5.218	267.859
84.2	6.595		5.322	249.755
84.4	7.283		5.34	261.081
84.6	7.58		5.356	271.776
84.8	6.997		5.338	249.188
85	6.479		5.383	256.246
85.2	8.315		5.15	242.819
85.4	8.427		5.349	246.58
85.6	8.456		5.185	254.78
85.8	7.218		5.292	258.84
86	7.251		5.361	266.596
86.2	7.817		5.376	246.174
86.4	7.792		5.162	244.153
86.6	9.126		5.074	237.546
86.8	8.404		5.046	239.715
87	9.323		5.211	251.576
87.2	9.179		5.309	273.808
87.4	9.201		5.183	241.142
87.6	8.264		5.113	246.399
87.8	7.948		5.255	252.96
88	8.4		5.139	225.6
88.2	9.028		5.278	267.46
