Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.166	4.433	134.422
0.2	1.681	0.209	4.44	188.419
0.4	1.623	0.179	4.537	203.109
0.6	2.553	0.127	4.529	199.524
0.8	1.488	0.134	4.603	150.636
1	1.95	0.187	4.452	195.739
1.2	2.483	0.318	4.528	210.871
1.4	2.332	0.343	4.519	187.55
1.6	2.771	0.205	4.506	181.385
1.8	2.638	0.192	4.52	192.584
2	2.991	0.421	4.438	205.321
2.2	2.166	0.267	4.613	187.003
2.4	2.231	0.345	4.55	220.503
2.6	2.24	0.332	4.595	227.503
2.8	2.073	0.192	4.483	189.884
3	2.791	0.332	4.626	222.038
3.2	2.979	0.368	4.631	188.78
3.4	3.057	0.179	4.616	249.097
3.6	3.006	0.191	4.602	242.926
3.8	2.971	0.417	4.62	213.319
4	2.144	0.451	4.528	189.896
4.2	2.436	0.262	4.654	208.43
4.4	2.783	0.551	4.567	194.204
4.6	1.88	0.421	4.559	168.844
4.8	1.504	0.227	4.474	178.469
5	1.811	0.569	4.536	175.013
5.2	1.613	0.476	4.469	171.759
5.4	1.843		4.537	183.407
5.6	1.877		4.5	174.238
5.8	1.975		4.548	178.874
6	2.746		4.54	173.408
6.2	1.996		4.579	178.626
6.4	2.681		4.561	165.706
6.6	2.369		4.491	184.494
6.8	2.817		4.494	205.288
7	2.654		4.62	215.057
7.2	2.674		4.618	169.444
7.4	1.727		4.569	215.226
7.6	2.254		4.463	176.796
7.8	2.33		4.473	176.346
8	2.797		4.625	183.566
8.2	2.362		4.514	190.103
8.4	2.78		4.527	183.544
8.6	2.607		4.474	196.45
8.8	2.864		4.528	189.441
9	2.758		4.684	195.779
9.2	2.39		4.468	188.611
9.4	2.128		4.516	192.955
9.6	2.672		4.426	175.641
9.8	2.497		4.496	198.739
10	2.142		4.563	153.849
10.2	2.253		4.718	181.382
10.4	2.045		4.554	200.075
10.6	1.556		4.521	189.309
10.8	2.379		4.578	189.489
11	2.327		4.517	209.973
11.2	2.185		4.51	206.398
11.4	2.163		4.509	179.438
11.6	2.896		4.505	192.387
11.8	2.485		4.54	172.811
12	2.181		4.55	212.759
12.2	1.863		4.56	207.104
12.4	1.545		4.588	169.826
12.6	1.744		4.495	176.847
12.8	2.077		4.531	199.141
13	1.874		4.535	176.746
13.2	2.086		4.529	150.838
13.4	1.817		4.474	167.753
13.6	2.153		4.592	169.715
13.8	2.528		4.568	170.291
14	2.617		4.562	173.294
14.2	2.233		4.474	157.07
14.4	2.187		4.605	182.957
14.6	1.907		4.558	186.988
14.8	2.538		4.562	186.722
15	2.421		4.459	176.952
15.2	2.125		4.501	197.401
15.4	3.157		4.568	209.445
15.6	2.686		4.576	194.25
15.8	2.587		4.615	161.628
16	2.307		4.581	183.843
16.2	2.506		4.543	193.119
16.4	2.203		4.53	205.131
16.6	2.161		4.654	180.144
16.8	1.891		4.515	180.818
17	1.37		4.568	185.481
17.2	2.323		4.478	148.272
17.4	1.734		4.522	198.457
17.6	2.19		4.706	186.654
17.8	2.386		4.603	177.738
18	1.839		4.525	199.214
18.2	2.247		4.688	160.622
18.4	2.503		4.605	201.845
18.6	1.943		4.513	177.706
18.8	2.034		4.536	146.921
19	1.958		4.527	161.996
19.2	2.078		4.552	162.96
19.4	2.471		4.622	197.497
19.6	2.229		4.469	167.591
19.8	2.232		4.515	167.437
20	2.492		4.591	195.024
20.2	2.393		4.635	182.824
20.4	2.03		4.476	168.012
20.6	2.082		4.605	151.222
20.8	2.3		4.467	188.999
21	1.802		4.479	159.156
21.2	1.74		4.555	160.87
21.4	1.876		4.471	173.889
21.6	2.063		4.603	169.157
21.8	1.362		4.424	164.513
22	1.858		4.517	179.036
22.2	2.093		4.437	180.603
22.4	2.072		4.568	153.696
22.6	1.953		4.449	174.596
22.8	1.814		4.508	168.172
23	2.059		4.447	171.366
23.2	2.074		4.547	168.365
23.4	2.107		4.586	160.28
23.6	1.638		4.548	149.662
23.8	2.19		4.495	146.572
24	1.98		4.48	160.184
24.2	2.288		4.553	158.563
24.4	2.06		4.633	168.268
24.6	2.365		4.656	169.7
24.8	2.275		4.682	173.633
25	1.432		4.558	154.194
25.2	1.868		4.484	173.037
25.4	2.313		4.458	185.944
25.6	2.257		4.611	163.449
25.8	1.853		4.573	179.068
26	2.458		4.385	153.52
26.2	2.132		4.642	149.161
26.4	1.632		4.483	104.467
26.6	1.958		4.428	105.562
26.8	2.42		4.612	140.311
27	3.021		4.607	149.258
27.2	2.482		4.588	140.914
27.4	1.895		4.544	157.787
27.6	2.242		4.468	173.94
27.8	1.767		4.391	180.054
28	1.488		4.499	172.682
28.2	1.932		4.574	205.787
28.4	2.125		4.483	174.5
28.6	1.769		4.566	181.992
28.8	2.256		4.537	182.017
29	2.204		4.511	202.048
29.2	1.878		4.527	198.492
29.4	2.021		4.593	176.827
29.6	1.411		4.421	178.484
29.8	2.052		4.45	177.031
30	2.031		4.57	186.659
30.2	1.634		4.521	190.401
30.4	1.928		4.484	190.435
30.6	2.139		4.519	165.057
30.8	2.157		4.431	188.742
31	2.17		4.523	175.693
31.2	1.947		4.463	179.452
31.4	2.358		4.474	176.12
31.6	2.55		4.441	180.272
31.8	2.597		4.46	174.064
32	2.321		4.424	191.145
32.2	1.962		4.529	201.954
32.4	2.293		4.48	191.121
32.6	2.157		4.466	183.148
32.8	2.124		4.502	188.819
33	1.991		4.458	194.917
33.2	2.766		4.495	171.757
33.4	2.277		4.567	188.972
33.6	1.985		4.514	196.278
33.8	2.288		4.569	198.717
34	2.138		4.557	203.572
34.2	2.313		4.436	168.467
34.4	2.012		4.363	199.548
34.6	1.983		4.516	185.719
34.8	2.058		4.475	192.75
35	2.696		4.503	166.038
35.2	2.6		4.571	188.873
35.4	1.927		4.574	203.397
35.6	2.174		4.528	179.382
35.8	2.595		4.56	189.913
36	2.325		4.539	174.326
36.2	2.903		4.386	192.399
36.4	2.309		4.382	175.26
36.6	2.083		4.487	172.633
36.8	2.631		4.394	165.527
37	2.161		4.494	177.788
37.2	2.445		4.489	203.86
37.4	2.652		4.593	182.471
37.6	1.977		4.542	181.017
37.8	1.947		4.577	190.339
38	2.71		4.603	196.374
38.2	2.006		4.482	186.574
38.4	1.976		4.527	168.628
38.6	2.251		4.496	195.815
38.8	2.173		4.615	207.662
39	1.909		4.609	188.239
39.2	2.027		4.608	180.259
39.4	2.343		4.569	211.077
39.6	1.99		4.481	174.592
39.8	2.548		4.49	169.118
40	2.643		4.553	155.355
40.2	2.278		4.495	174.715
40.4	2.555		4.567	190.255
40.6	2.416		4.515	178.11
40.8	2.051		4.535	176.741
41	2.181		4.511	184.47
41.2	1.851		4.54	185.887
41.4	2.125		4.585	201.874
41.6	1.756		4.552	198.042
41.8	2.272		4.495	183.632
42	2.717		4.585	213.304
42.2	2.001		4.361	192.843
42.4	2.277		4.57	209.528
42.6	1.829		4.511	209.241
42.8	2.046		4.526	191.382
43	1.565		4.503	180.035
43.2	1.481		4.54	193.283
43.4	1.75		4.477	192.837
43.6	1.647		4.601	183.635
43.8	1.898		4.525	199.576
44	2.012		4.582	189.152
44.2	1.677		4.501	194.548
44.4	1.621		4.568	196.799
44.6	1.853		4.576	198.099
44.8	1.556		4.536	174.465
45	1.531		4.544	179.017
45.2	2.063		4.687	182.206
45.4	1.952		4.496	205.307
45.6	2.092		4.537	177.094
45.8	2.483		4.588	194.206
46	2.073		4.43	187.188
46.2	2.216		4.496	203.686
46.4	2.001		4.402	192.225
46.6	1.563		4.449	180.741
46.8	1.208		4.576	163.956
47	2.115		4.503	175.115
47.2	2.428		4.647	187.67
47.4	1.825		4.478	186.461
47.6	1.667		4.495	184.101
47.8	1.93		4.477	193.031
48	2.279		4.568	204.247
