#			Time (ns)	RMSD	RMSF	rGyr	SASA
			0	0	0.423	4.758	46.373
			0.2	1.036	0.717	4.897	24.21
			0.4	1.603	0.714	4.789	28.88
			0.6	3.056	0.404	4.775	50.423
			0.8	2.554	0.538	4.767	118.567
			1	2.951	0.535	4.812	110.484
			1.2	3.444	0.569	4.933	139.941
			1.4	3.149	0.561	4.861	135.835
			1.6	2.974	1.469	4.929	145.245
			1.8	4.485	0.468	5.154	181.681
			2	5.449	1.426	5.082	194.494
			2.2	4.966	1.409	5.37	182.953
			2.4	5.386	0.473	5.291	221.362
			2.6	5.816	0.533	5.358	229.137
			2.8	5.548	1.121	5.332	218.424
			3	5.437	1.655	5.333	240.547
			3.2	5.478	1.303	5.208	259.797
			3.4	6.058	0.302	5.311	238.022
			3.6	5.772	1.065	5.329	255.028
			3.8	5.822	0.621	5.288	284.779
			4	5.548	0.398	5.221	250.727
			4.2	5.946	0.53	5.305	305.706
			4.4	5.792	0.583	5.222	257.081
			4.6	5.58	1.475	5.28	178.235
			4.8	5.607	1.341	5.356	195.272
			5	5.849	1.443	5.316	267.345
			5.2	5.595		5.234	260.254
			5.4	6.198		5.274	296.472
			5.6	6.413		5.296	313.385
			5.8	6.881		5.165	252.983
			6	6.206		5.183	199.579
			6.2	5.352		5.13	182.126
			6.4	7.114		5.219	222.454
			6.6	5.911		5.149	186.025
			6.8	5.447		5.027	170.071
			7	6.362		5.012	248.441
			7.2	5.562		5.198	244.087
			7.4	5.709		5.082	241.791
			7.6	5.423		5.017	214.07
			7.8	5.96		5.136	266.975
			8	6.073		5.188	250.46
			8.2	5.993		5.171	258.673
			8.4	6.459		5.2	286.76
			8.6	5.895		5.171	272.405
			8.8	5.995		5.242	278.544
			9	5.748		5.209	269.079
			9.2	5.658		5.265	257.007
			9.4	5.312		5.291	252.685
			9.6	4.996		5.255	286.084
			9.8	5.68		5.16	251.885
			10	5.645		5.236	274.69
			10.2	5.194		5.118	270.197
			10.4	6.604		5.106	304.898
			10.6	7.925		5.139	367.164
			10.8	7.317		5.173	343.595
			11	6.648		5.188	309.08
			11.2	6.837		5.189	287.344
			11.4	6.825		5.047	294.092
			11.6	6.391		5.183	265.023
			11.8	5.275		5.173	249.961
			12	6.15		5.162	296.177
			12.2	5.486		5.066	256.316
			12.4	4.883		5.027	221.409
			12.6	5.345		5.278	224.969
			12.8	5.306		5.181	212.65
			13	4.943		5.215	204.421
			13.2	4.783		5.125	215.37
			13.4	4.819		5.187	217.823
			13.6	5.082		5.259	229.36
			13.8	4.919		5.146	223.03
			14	5.135		5.141	241.278
			14.2	5.225		5.167	232.713
			14.4	5.05		5.141	188.558
			14.6	5.195		4.957	218.552
			14.8	5.495		5.11	227.876
			15	5.258		5.114	223.299
			15.2	5.196		5.187	241.3
			15.4	5.691		5.128	266.128
			15.6	5.777		5.225	263.43
			15.8	5.393		5.177	227.501
			16	5.02		5.178	228.502
			16.2	5.32		5.114	231.256
			16.4	5.358		5.185	272.786
			16.6	5.705		5.233	255.06
			16.8	5.711		5.075	293.035
			17	5.748		5.149	279.506
			17.2	5.351		5.243	216.436
			17.4	4.663		5.011	180.03
			17.6	4.99		5.029	173.805
			17.8	5.114		5.149	192.587
			18	5.071		5.193	193.645
			18.2	4.972		5.036	209.564
			18.4	5.052		5.079	204.515
			18.6	5.197		5.181	208.004
			18.8	5.286		5.183	247.22
			19	6.1		5.164	255.408
			19.2	5.59		5.096	216.723
			19.4	5.574		5.172	236.512
			19.6	5.157		5.088	229.924
			19.8	5.032		5.089	204.057
			20	4.982		5.25	251.124
			20.2	4.495		5.119	179.089
			20.4	5.401		5.196	212.872
			20.6	5.493		5.2	243.529
			20.8	5.191		5.179	234.237
			21	5.132		5.077	228.962
			21.2	5.341		5.166	241.089
			21.4	5.265		5.125	221.634
			21.6	5.306		5.129	209.828
			21.8	5.359		5.203	236.484
			22	5.48		5.076	188.07
			22.2	5.362		5.099	209.129
			22.4	5.679		5.132	227.409
			22.6	5.081		5.109	203.047
