Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.178	4.24	102.114
0.2	2.121	0.256	4.233	123.871
0.4	2.083	0.256	4.32	136.802
0.6	1.984	0.176	4.236	139.278
0.8	1.956	0.23	4.184	122.244
1	2.34	0.231	4.25	166.323
1.2	2.517	0.349	4.204	154.175
1.4	2.73	0.259	4.245	147.634
1.6	2.621	0.241	4.19	154.78
1.8	2.214	0.16	4.206	137.954
2	2.707	0.19	4.236	181.191
2.2	2.461	1.128	4.221	173.578
2.4	2.399	0.598	4.206	157.092
2.6	2.776	0.638	4.247	194.642
2.8	2.292	0.312	4.263	167.005
3	2.859	0.53	4.27	199.324
3.2	2.551	1.168	4.276	162.905
3.4	2.765	0.521	4.191	187.503
3.6	3.081	0.168	4.297	199.192
3.8	3.012	0.385	4.309	199.99
4	2.573	0.909	4.358	177.998
4.2	2.352	0.413	4.228	145.636
4.4	2.54	1.045	4.209	175.089
4.6	2.825	0.878	4.217	193.74
4.8	2.732	1.079	4.241	198.24
5	2.787		4.297	197.951
5.2	2.297		4.21	153.757
5.4	3.062		4.243	179.048
5.6	2.767		4.249	170.476
5.8	3.082		4.2	148.844
6	2.658		4.182	148.098
6.2	3.734		4.249	186.231
6.4	2.932		4.239	175.954
6.6	3.236		4.172	177.299
6.8	3.459		4.228	198.997
7	2.974		4.191	161.881
7.2	2.676		4.195	140.483
7.4	2.799		4.229	152.79
7.6	2.395		4.282	154.999
7.8	2.94		4.167	137.425
8	2.705		4.266	180.511
8.2	2.543		4.188	176.837
8.4	2.492		4.295	157.828
8.6	2.231		4.31	150.188
8.8	2.134		4.2	131.134
9	1.96		4.199	116.997
9.2	2.775		4.226	138.281
9.4	2.031		4.256	142.417
9.6	2.231		4.228	142.07
9.8	2.81		4.224	143.296
10	2.334		4.188	140.243
10.2	3.069		4.212	184.874
10.4	2.762		4.361	171.764
10.6	2.956		4.248	150.706
10.8	2.593		4.202	169.569
11	2.087		4.141	137.399
