Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.601	5.188	48.408
0.2	3.286	1.21	5.08	99.297
0.4	3.688	0.972	5.076	101.794
0.6	3.446	1.639	5.009	67.785
0.8	3.351	1.357	5.072	96.85
1	2.51	0.665	5.016	81.151
1.2	3.084	0.73	5.085	92.511
1.4	3.73	0.466	4.927	116.723
1.6	4.403	0.918	5.288	152.47
1.8	2.887	1.635	5.076	149.608
2	3.532	0.714	5.056	105.474
2.2	3.822	0.504	5.116	110.269
2.4	3.606	0.985	5.085	101.703
2.6	3.612	0.999	5.115	128.542
2.8	2.255	1.339	4.983	122.429
3	3.537	1.74	5.182	159.805
3.2	4.748	1.266	5.296	149.196
3.4	4.287	0.889	5.307	171.043
3.6	4.881	0.511	5.393	178.331
3.8	3.644	1.009	5.32	160.758
4	4.024	1.119	5.333	166.787
4.2	4.578	0.592	5.341	183.552
4.4	4.147	0.895	5.224	179.02
4.6	3.959	1.232	5.241	196.605
4.8	4.488	1.381	5.331	210.286
5	4.088	0.712	5.328	167.716
5.2	3.595	0.775	5.297	123.924
5.4	2.788		5.075	100.928
5.6	3.356		5.11	128.451
5.8	3.992		5.203	163.512
6	2.796		5.352	128.198
6.2	3.858		5.042	129.733
6.4	3.196		5.181	120.649
6.6	3.781		5.13	116.77
6.8	3.218		5.032	109.155
7	2.506		5.245	81.395
7.2	2.554		5.229	127.261
7.4	2.56		5.046	75.122
7.6	2.2		5.152	83.704
7.8	1.87		5.259	100.701
8	1.877		5.184	104.005
8.2	2.72		5.027	100.22
8.4	1.458		5.298	111.03
8.6	1.48		5.262	110.332
8.8	1.085		5.313	93.149
9	2.246		5.257	113.432
9.2	2.859		5.123	86.784
9.4	2.853		5.121	64.313
9.6	2.681		5.109	63.699
9.8	2.541		5.291	92.823
10	2.501		5.241	90.654
10.2	2.602		4.892	58.45
10.4	2.897		5.079	74.661
10.6	2.845		5.214	89.16
10.8	2.754		5.06	90.588
11	2.547		5.125	89.076
11.2	3.416		5.239	82.366
11.4	2.686		5.264	71.289
11.6	3.414		5.082	106.302
11.8	3.204		5.071	100.248
12	3.375		5.139	84.729
12.2	3.788		5.04	67.02
12.4	2.6		5.202	48.053
12.6	2.731		5.116	66.269
12.8	2.781		5.143	98.206
13	2.256		5.101	75.802
13.2	2.446		5.081	69.1
13.4	1.664		5.409	119.374
13.6	2.448		5.176	56.153
13.8	2.793		5.171	41.154
14	2.581		4.973	42.803
14.2	1.326		5.336	64.306
14.4	1.359		5.333	99.042
14.6	1.249		5.174	95.729
14.8	1.885		5.266	84.201
15	2.015		5.207	80.643
15.2	1.846		5.334	102.163
15.4	1.974		5.368	94.123
15.6	1.562		5.33	85.21
15.8	1.677		5.225	95.068
16	3.963		5.184	54.76
16.2	3.895		5.097	62.449
16.4	3.013		5.001	54.594
16.6	2.508		5.154	93.149
16.8	2.866		5.102	80.817
17	1.575		5.101	119.59
17.2	1.967		5.179	128.239
17.4	1.581		5.462	92.036
17.6	1.858		5.34	90.73
17.8	1.751		5.392	111.228
18	2.111		5.342	98.369
18.2	2.111		5.377	94.938
18.4	1.696		5.26	95.252
18.6	1.87		5.167	107.749
18.8	1.585		5.215	101.353
19	1.815		5.235	122.63
19.2	1.584		5.267	97.741
19.4	1.398		5.227	93.632
19.6	1.439		5.285	102.65
19.8	1.458		5.176	115.182
20	1.453		5.159	87.003
20.2	1.55		5.311	123.766
20.4	1.377		5.289	104.193
20.6	2.157		5.135	97.311
20.8	1.636		5.174	123.36
21	2.082		5.322	187.342
21.2	1.425		5.217	140.469
21.4	1.584		5.172	104.247
21.6	1.452		5.3	78.287
21.8	1.975		5.339	99.069
22	1.705		5.295	81.331
22.2	0.979		5.253	130.918
22.4	1.562		5.357	76.142
22.6	1.642		5.139	119.411
22.8	1.726		5.381	66.073
23	1.235		5.156	95.921
23.2	1.763		5.22	90.842
23.4	2.125		4.835	125.614
23.6	2.418		5.019	97.647
23.8	2.576		5.045	125.526
24	1.901		5.188	112.375
24.2	2.496		5.025	150.249
24.4	2.829		4.908	152.903
24.6	2.644		5.058	129.93
24.8	3.538		5.143	178.571
25	2.913		5.218	147.966
25.2	3.109		5.373	162.353
25.4	2.611		5.376	135.664
25.6	2.549		5.445	164.77
25.8	2.248		5.289	96.901
26	2.49		5.353	81.449
26.2	2.713		5.27	87.378
26.4	3.194		5.199	128.775
26.6	3.096		5.226	163.73
26.8	2.848		5.346	178.036
27	2.992		5.353	178.512
27.2	3.345		5.158	169.267
27.4	3.13		5.528	145.817
27.6	3.022		5.374	137.14
27.8	3.254		5.443	101.597
28	3.158		5.336	127.592
28.2	2.462		5.573	133.937
28.4	3.111		5.303	138.961
28.6	2.594		5.557	120.961
28.8	2.987		5.321	120.563
29	2.908		5.299	182.187
29.2	2.878		5.338	113.242
29.4	2.62		5.465	129.712
29.6	2.852		5.315	115.931
29.8	3.784		5.193	134.651
30	3.104		5.386	141.212
30.2	2.89		5.335	129.488
30.4	2.676		5.413	156.669
30.6	2.49		5.416	119.948
30.8	3.154		5.388	140.013
31	2.841		5.334	138.013
31.2	2.985		5.318	144.466
31.4	2.227		5.243	104.568
31.6	2.502		5.092	99.819
31.8	2.755		5.432	129.983
32	2.605		5.445	144.836
32.2	2.503		5.378	107.527
32.4	2.677		5.438	129.191
32.6	2.681		5.384	110.66
32.8	2.246		5.397	126.539
