Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.191	4.496	132.867
0.2	1.338	0.243	4.543	185.365
0.4	1.52	0.222	4.621	181.299
0.6	2.201	0.16	4.481	174.2
0.8	2.733	0.192	4.454	204.684
1	1.576	0.22	4.425	178.742
1.2	1.742	0.483	4.602	187.586
1.4	1.581	0.423	4.553	180.287
1.6	1.509	0.229	4.468	181.208
1.8	1.209	0.23	4.58	190.637
2	2.133	0.427	4.435	180.3
2.2	1.58	0.269	4.537	165.658
2.4	1.401	0.399	4.64	186.077
2.6	1.534	0.375	4.585	151.997
2.8	1.996	0.205	4.738	178.001
3	2.212	0.365	4.614	165.353
3.2	1.763	0.38	4.646	171.537
3.4	1.915	0.335	4.771	187.44
3.6	1.747	0.293	4.623	161.393
3.8	2.065	0.744	4.801	163.992
4	2.306	0.642	4.522	208.358
4.2	2.163	0.328	4.587	195.983
4.4	2.211	0.855	4.545	193.78
4.6	2.229	0.598	4.482	200.722
4.8	2.186	0.389	4.796	167.545
5	1.688	0.996	4.706	149.124
5.2	1.933	0.834	4.77	172.777
5.4	1.902		4.81	195.189
5.6	2.055		4.769	163.544
5.8	2.076		4.643	197.82
6	2.562		4.594	220.474
6.2	2.561		4.87	155.197
6.4	2.069		4.806	187.704
6.6	2.23		4.696	168.38
6.8	2.237		4.747	175.09
7	2.208		4.869	169.105
7.2	1.67		4.73	172.725
7.4	1.937		4.848	183.691
7.6	2.392		4.797	149.289
7.8	2.555		4.923	158.188
8	2.339		4.824	173.88
8.2	2.212		4.866	176.649
8.4	2.695		4.911	181.653
8.6	2.488		4.777	150.763
8.8	2.427		4.736	192.58
9	1.986		4.584	175.031
9.2	2.678		4.636	158.103
9.4	2.145		4.652	174.288
9.6	2.254		4.804	173.606
9.8	2.303		4.703	170.23
10	2.274		4.829	164.048
10.2	2.491		4.761	144.816
10.4	2.233		4.746	161.702
10.6	2.33		4.879	166.944
10.8	2.422		4.827	134.897
11	2.436		4.82	168.28
11.2	2.15		4.733	179.131
11.4	2.239		4.884	184.904
11.6	2.085		4.632	187.097
11.8	2.034		4.722	192.765
12	2.226		4.785	204.606
12.2	2.169		4.674	159.897
12.4	2.112		4.822	155.054
12.6	2.129		4.74	155.653
12.8	1.979		4.727	127.801
13	2.082		4.8	161.592
13.2	2.72		4.726	143.772
13.4	2.465		4.877	150.866
13.6	2.429		4.645	139.642
13.8	2.063		4.75	161.49
14	2.52		4.793	152.096
14.2	2.069		4.739	150.642
14.4	2.402		4.818	181.67
14.6	2.33		4.794	147.111
14.8	1.991		4.574	180.757
15	2.117		4.542	181.971
15.2	2.332		4.777	171.074
15.4	2.044		4.658	173.408
15.6	2.398		4.803	150.765
15.8	2.088		4.826	155.214
16	2.349		4.616	137.446
16.2	2.468		4.833	163.884
16.4	2.362		4.626	166.326
16.6	2.265		4.54	151.288
16.8	2.724		4.723	142.049
17	2.324		4.788	182.495
17.2	2.176		4.661	158.547
17.4	2.151		4.668	141.067
17.6	2.354		4.575	152.446
17.8	2.253		4.803	159.321
18	2.65		4.731	157.767
18.2	2.212		4.834	167.198
18.4	2.373		4.666	145.833
18.6	2.346		4.542	158.007
18.8	2.149		4.712	148.103
19	2.061		4.73	159.659
19.2	2.453		4.734	175.823
19.4	2.324		4.706	188.869
19.6	2.192		4.754	201.325
19.8	2.631		4.58	192.036
20	1.971		4.672	184.429
20.2	2.562		4.8	178.033
20.4	2.827		4.699	190.342
20.6	2.645		4.579	208.436
20.8	2.259		4.705	178.381
21	2.536		4.727	164.246
21.2	2.209		4.708	176.474
21.4	2.561		4.672	171.407
21.6	2.461		4.682	147.853
21.8	2.567		4.724	147.77
22	2.391		4.817	170.704
22.2	2.512		4.636	167.389
22.4	2.707		4.803	184.153
22.6	2.171		4.658	184.839
22.8	2.12		4.736	194.054
23	1.969		4.756	156.989
23.2	1.934		4.685	135.073
23.4	2.375		4.728	165.232
23.6	2.338		4.665	170.546
23.8	2.846		4.689	168.864
24	2.519		4.67	165.2
24.2	2.723		4.658	169.059
24.4	2.745		4.721	148.844
24.6	2.429		4.85	183.296
24.8	2.834		4.841	155.907
25	2.287		4.839	158.054
25.2	2.486		4.816	166.51
25.4	2.303		4.772	178.833
25.6	2.688		4.745	160.3
25.8	2.483		4.796	164.515
26	2.558		4.814	167.905
