Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.747	5.383	48.366
0.2	1.265	1.533	5.125	46.058
0.4	1.241	1.143	5.38	32.781
0.6	1.858	1.818	5.276	57.142
0.8	1.782	1.361	5.173	36.966
1	3.322	0.577	5.397	55.627
1.2	3.471	0.82	5.312	90.488
1.4	3.619	0.473	5.366	73.441
1.6	2.886	0.929	5.261	117.057
1.8	2.724	1.593	5.027	96.913
2	2.656	0.677	5.124	89.913
2.2	3.023	0.467	5.101	108.221
2.4	2.645	0.953	5.139	111.123
2.6	2.421	1.129	5.246	86.561
2.8	2.104	1.238	5.154	69.046
3	2.848	1.563	5.122	74.111
3.2	2.672	1.263	5.179	103.364
3.4	2.587	0.922	5.018	75.66
3.6	2.734	0.576	5.095	75.102
3.8	2.841	1.411	5.074	74.562
4	2.892	1.63	5.151	78.341
4.2	4.121	0.683	4.957	95.175
4.4	2.647	0.857	5.168	89.842
4.6	3.249	1.22	5.138	81.516
4.8	2.896	1.721	5.041	90.438
5	2.876	0.868	5.207	74.502
5.2	3.423	1.087	5.146	99.069
5.4	4.355		5.379	120.214
5.6	3.909		5.356	117.326
5.8	4.017		5.324	113.234
6	3.56		5.234	124.289
6.2	4.165		5.173	139.53
6.4	3.989		5.217	106.622
6.6	4.345		5.28	139.499
6.8	4.448		5.008	155.024
7	4.17		5.312	109.175
7.2	5.107		4.793	112.583
7.4	5.278		5.257	175.17
7.6	4.263		5.246	121.172
7.8	4.355		5.141	138.411
8	3.927		4.998	160.333
8.2	4.322		5.064	117.789
8.4	4.202		5.271	168.402
8.6	6.018		5.27	190.196
8.8	5.645		5.248	140.785
9	5.978		5.177	220.557
9.2	4.64		5.317	129.609
9.4	7.796		5.18	194.239
9.6	8.602		5.353	228.898
9.8	8.116		5.312	238.139
10	8.823		5.355	239.767
10.2	8.839		5.082	273.767
10.4	8.255		5.374	263.828
10.6	9.261		5.398	288.577
10.8	9.873		5.184	294.465
11	9.157		5.322	280.286
11.2	9.757		5.118	291.323
11.4	8.917		5.275	270.816
11.6	10.279		5.259	291.117
11.8	10.443		5.407	301.538
12	10.128		5.27	308.427
12.2	9.788		5.334	294.591
12.4	8.757		5.156	268.169
12.6	10.424		5.014	307.844
12.8	9.532		5.371	312.119
13	9.476		5.26	318.192
13.2	8.13		5.22	274.646
13.4	8.85		5.217	281.886
13.6	9.201		5.462	271.111
13.8	9.274		5.229	282.007
14	8.724		5.239	281.436
14.2	8.32		5.506	284.177
14.4	9.478		5.231	253.3
14.6	9.003		5.177	256.35
14.8	9.977		5.088	261.337
15	7.897		5.383	252.229
15.2	9.67		5.207	291.815
15.4	8.392		5.09	249.949
