Time (ns)	RMSD	RMSF	rGyr	SASA
15.6	8.388		5.412	273.267
15.8	8.243		5.488	287.138
16	8.442		5.265	261.967
16.2	9.087		5.21	275.55
16.4	9.139		5.446	288.699
16.6	8.556		5.344	239.499
16.8	7.518		5.354	215.076
17	9.038		5.292	241.259
17.2	10.624		5.332	304.722
17.4	8.774		5.45	318.162
17.6	10.097		5.294	272.875
17.8	7.583		5.109	279.763
18	8.807		5.351	288.442
18.2	9.251		4.989	275.319
18.4	7.809		5.355	276.656
18.6	9.108		5.075	267.838
18.8	8.676		5.248	299.633
19	7.111		5.403	249.693
19.2	8.432		5.418	257.7
19.4	7.965		5.3	260.959
19.6	8.861		5.3	281.815
19.8	8.01		5.024	264.653
20	7.774		5.339	257.692
20.2	7.577		5.431	250.953
20.4	7.541		5.173	219.211
20.6	6.879		5.476	249.424
20.8	7.894		5.269	203.163
21	8.448		5.317	285.134
21.2	7.165		5.419	209.022
21.4	7.571		5.263	256.65
21.6	7.691		5.256	266.441
21.8	7.579		5.077	257.154
22	7.137		5.337	222.759
22.2	7.675		5.208	267.567
22.4	7.08		5.272	249.466
22.6	7.697		5.407	269.405
22.8	6.168		5.434	231.521
23	6.795		5.376	220.406
23.2	6.896		5.235	203.382
23.4	7.063		5.211	291.73
23.6	8.022		5.211	316.201
23.8	8.648		5.043	311.662
24	7.266		5.441	278.51
24.2	7.142		5.277	256.463
24.4	6.992		5.354	260.996
24.6	7.202		5.367	235.188
24.8	7.086		5.379	267.356
25	7.387		5.366	277.709
25.2	7.104		5.375	281.822
25.4	6.689		5.374	261.743
25.6	7.76		5.338	287.952
25.8	7.537		5.241	288.058
26	6.897		5.342	311.788
26.2	7.458		5.315	303.594
26.4	6.139		5.416	282.87
26.6	6.231		5.268	248.505
26.8	8.606		5.088	287.924
27	7.808		5.152	283.11
27.2	7.479		5.268	258.689
27.4	7.345		5.334	266.287
27.6	7.692		5.2	271.245
27.8	7.727		5.435	265.377
28	9.093		5.246	289.805
28.2	9.467		5.322	292.673
28.4	9.04		5.297	305.937
28.6	6.865		5.274	248.571
28.8	8.508		5.071	304.51
29	7.976		5.069	312.676
29.2	8.925		5.351	306.972
29.4	7.237		5.332	244.999
29.6	7.766		5.321	295.568
29.8	8.265		5.314	296.723
30	7.097		5.189	295.049
30.2	8.09		5.262	288.815
30.4	7.773		5.328	302.269
30.6	7.823		5.279	313.587
30.8	7.857		5.426	318.607
31	8.532		5.123	290.122
31.2	7.496		5.162	289.107
31.4	7.999		5.186	281.788
31.6	9.186		5.392	298.981
31.8	8.277		5.373	288.999
32	7.988		5.233	261.972
32.2	8.868		5.312	278.973
32.4	8.635		5.097	300.108
32.6	9.507		5.532	334.525
32.8	7.447		5.227	244.77
33	8.681		5.283	298.232
33.2	10.137		5.199	311.151
33.4	6.072		5.428	204.618
33.6	5.831		5.466	181.553
33.8	4.732		5.247	210.812
34	6.347		5.524	169.591
34.2	6.249		5.506	208.29
34.4	6.287		5.199	231.566
34.6	6.284		5.405	211.013
34.8	5.787		5.572	160.325
35	6.502		5.372	211.476
35.2	6.722		5.601	283.027
35.4	7.112		5.442	288.092
35.6	5.688		5.153	213.845
35.8	7.51		5.182	330.188
36	7.823		5.039	318.704
36.2	7.696		5.104	332.144
36.4	8.162		5.12	313.234
36.6	7.503		5.049	295.158
36.8	7.024		5.03	280.221
37	8.115		5.142	301.533
37.2	8.412		5.114	319.242
37.4	8.627		4.928	327.445
37.6	9.166		4.698	325.488
37.8	9.044		4.981	294.174
38	7.35		5.111	281.787
38.2	7.172		5.158	293.835
38.4	7.992		5.018	293.848
38.6	7.441		5.135	285.549
38.8	7.611		5.076	303.564
39	7.119		4.955	294.358
39.2	7.352		4.909	253.493
39.4	6.812		5.166	266.737
39.6	7.151		5.041	263.407
39.8	7.736		5.085	267.718
40	7.064		5.146	286.463
40.2	7.883		5.184	302.987
40.4	7.169		5.001	274.198
40.6	7.857		5.102	288.841
40.8	7.756		4.922	273.878
41	9.971		5.548	421.293
41.2	8.484		5.478	328.613
41.4	7.078		5.189	212.194
41.6	7.786		5.196	269.841
41.8	8.482		5.134	255.094
42	5.425		5.536	237.497
42.2	5.262		5.213	149.657
42.4	5.108		5.216	165.25
42.6	4.695		5.22	137.427
42.8	4.679		5.336	114.464
43	4.618		5.349	136.195
43.2	5.041		5.196	133.955
43.4	4.582		5.223	143.327
43.6	4.304		5.316	172.956
43.8	4.684		5.311	142.658
44	4.248		5.298	111.819
44.2	4.349		5.117	152.404
44.4	3.793		5.282	138.686
44.6	4.447		5.337	136.185
44.8	4.887		5.252	136.717
45	4.347		5.24	141.683
45.2	4.368		5.243	155.296
45.4	4.449		5.348	171.051
45.6	4.433		5.271	160.182
45.8	4.886		5.287	163.555
46	4.696		5.294	147.224
46.2	4.35		5.255	129.187
46.4	4.326		5.381	147.732
46.6	4.699		5.258	132.693
46.8	4.068		5.164	118.242
47	5.18		5.278	117.861
47.2	4.292		5.282	143.4
47.4	4.15		5.39	148.244
47.6	4.167		5.385	151.138
47.8	4.432		5.368	151.253
48	4.589		5.361	149.264
48.2	5.078		5.269	163.75
48.4	4.57		5.205	144.821
48.6	4.153		5.136	122.515
48.8	3.735		5.273	150.768
49	4.218		5.215	137.011
49.2	4.579		5.227	126.108
49.4	4.61		5.299	154.344
49.6	5.19		5.304	161.835
49.8	5.15		5.29	116.608
50	5.043		5.24	136.444
50.2	5.075		5.219	120.521
50.4	4.474		5.146	149.32
50.6	4.898		5.101	140.239
50.8	4.485		5.219	121.385
51	4.182		5.247	131.399
51.2	4.782		5.33	148.676
51.4	4.326		5.362	147.691
51.6	4.8		5.445	159.726
51.8	4.821		5.39	153.959
52	3.808		5.439	164.358
52.2	4.303		5.28	142.452
52.4	4.903		5.406	163.29
52.6	4.31		5.309	143.898
52.8	4.624		5.405	147.903
53	4.73		5.234	134.483
53.2	4.521		5.276	125.157
53.4	4.648		5.341	125.283
53.6	4.912		5.135	113.046
53.8	4.346		5.331	151.671
54	4.717		5.378	149.724
54.2	4.451		5.221	124.777
54.4	4.292		5.222	134.178
54.6	4.341		5.35	116.607
54.8	4.275		5.293	129.303
55	4.614		5.257	137.168
55.2	4.768		5.327	141.734
55.4	4.553		5.151	127.809
55.6	4.838		5.361	137.762
55.8	4.843		5.281	136.31
56	5.068		5.242	134.883
56.2	5.133		5.38	123.274
56.4	4.97		5.408	121.828
56.6	4.751		5.321	125.16
56.8	5.187		5.317	158.142
57	5.187		5.2	125.044
57.2	4.81		5.37	147.957
57.4	4.792		5.313	146.28
57.6	5.428		5.175	150.322
57.8	4.807		5.339	136.29
58	5.054		5.33	138.94
58.2	4.979		5.411	142.268
58.4	4.958		5.231	128.243
58.6	4.595		5.332	135.075
58.8	4.601		5.307	139.013
59	4.588		5.217	133.642
59.2	4.553		5.317	168.871
59.4	4.443		5.298	121.763
59.6	5.311		5.294	134.603
59.8	4.643		5.354	173.154
60	4.539		5.363	131.397
60.2	4.621		5.294	122.562
60.4	4.215		5.46	151.751
60.6	4.401		5.472	146.398
60.8	5.064		5.155	119.151
61	4.456		5.25	127.478
61.2	4.874		5.228	130.855
61.4	4.612		5.311	148.184
61.6	5.413		5.206	138.382
61.8	4.749		5.34	154.758
62	5.147		5.31	144.735
62.2	4.93		5.338	122.43
62.4	4.821		5.227	139.564
62.6	4.985		5.165	120.512
62.8	5.13		5.371	132.317
63	4.485		5.425	137.065
63.2	5.03		5.31	126.367
63.4	5.011		5.281	141.225
63.6	5.162		5.425	141.941
63.8	4.623		5.287	141.471
64	4.561		5.316	133.047
64.2	4.836		5.339	125.447
64.4	5.304		5.327	137.228
64.6	4.599		5.296	123.269
64.8	5.243		5.269	122.598
65	4.886		5.342	126.106
65.2	4.92		5.162	104.169
65.4	4.469		5.272	158.432
65.6	5.114		5.312	132.438
65.8	4.668		5.191	130.409
66	4.605		5.27	126.28
66.2	4.086		5.247	119.535
66.4	4.925		5.309	125.524
66.6	4.848		5.331	112.131
66.8	5.178		5.441	123.027
67	4.809		5.442	164.83
67.2	4.861		5.372	140.44
67.4	4.442		5.414	129.197
67.6	3.979		5.312	117.623
67.8	4.568		5.384	115.183
68	4.91		5.225	100.558
68.2	4.628		5.375	118.537
68.4	4.388		5.369	161.825
68.6	4.069		5.403	118.131
68.8	4.588		5.433	124.06
69	4.375		5.318	129.036
69.2	4.58		5.341	131.667
69.4	4.32		5.383	130.937
69.6	3.991		5.498	142.103
69.8	5.313		5.443	140.427
70	4.683		5.352	135.269
70.2	5.077		5.266	146.479
70.4	5.452		5.163	146.745
70.6	5.327		5.341	141.57
70.8	4.889		5.222	121.504
71	4.814		5.37	144.638
71.2	4.915		5.368	130.805
71.4	4.664		5.282	129.796
71.6	4.635		5.287	132.303
71.8	5.272		5.223	149.886
72	4.761		5.213	141.043
72.2	4.718		5.381	130.193
72.4	4.833		5.296	130.097
72.6	4.79		5.388	126.588
72.8	4.892		5.257	138.828
73	5.01		5.276	145.976
73.2	4.639		5.236	121.533
73.4	4.871		5.342	153.26
73.6	4.614		5.293	113.27
73.8	4.56		5.425	147.452
74	4.513		5.333	136.657
74.2	4.894		5.327	134.767
74.4	4.811		5.372	153.016
74.6	4.294		5.359	134.63
74.8	5.163		5.197	138.193
75	5.292		5.306	129.005
75.2	4.903		5.182	124.655
75.4	5.202		5.249	143.729
75.6	5.126		5.288	154.241
75.8	5.453		5.193	126.758
76	4.502		5.423	139.63
76.2	5.034		5.272	126.148
76.4	5.008		5.311	140.875
76.6	4.126		5.338	143.605
76.8	4.764		5.257	136.612
77	4.587		5.363	174.278
77.2	4.686		5.303	130.467
77.4	4.333		5.398	150.075
77.6	4.484		5.391	147.019
77.8	5.144		5.402	136.077
78	5.358		5.35	154.795
78.2	4.394		5.266	116.598
78.4	5.217		5.23	171.784
78.6	4.826		5.214	162.676
78.8	4.357		5.476	107.287
79	4.568		5.259	135.972
79.2	4.388		5.1	143.223
79.4	4.477		5.203	158.822
79.6	4.271		5.266	140.463
79.8	4.445		5.245	124.797
80	4.738		5.191	136.266
80.2	4.967		5.284	129.216
80.4	4.948		5.333	131.009
80.6	4.777		5.421	138.879
80.8	5.292		5.345	84.263
81	4.597		5.35	151.249
81.2	4.692		5.191	149.615
81.4	4.954		5.289	155.193
81.6	5.265		5.278	154.272
81.8	4.683		5.336	143.453
82	4.922		5.307	130.468
82.2	4.678		5.287	143.121
82.4	5.069		5.233	140.335
82.6	4.872		5.364	152.401
82.8	4.68		5.248	112.732
83	4.994		5.159	163.424
83.2	4.915		5.214	143.384
83.4	5.183		5.348	158.35
83.6	4.675		5.305	128.819
83.8	4.444		5.206	127.006
84	4.647		5.391	111.293
84.2	5.128		5.185	124.303
84.4	4.476		5.275	131.609
84.6	4.781		5.159	130.49
84.8	4.966		5.363	123.816
85	4.909		5.344	125.192
85.2	4.835		5.213	120.749
85.4	5.653		5.412	126.189
85.6	4.775		5.391	125.658
85.8	4.402		5.303	129.539
86	4.676		5.251	115.755
86.2	4.748		5.247	115.898
86.4	4.115		5.255	127.923
86.6	4.802		5.263	135.443
86.8	4.891		5.456	123.004
87	5.084		5.361	126.028
87.2	5.443		5.346	143.425
87.4	4.851		5.391	130.603
87.6	4.882		5.395	120.249
87.8	4.839		5.29	124.006
88	4.667		5.295	139.514
88.2	4.903		5.194	142.014
88.4	4.858		5.243	140.369
88.6	4.942		5.288	146.199
88.8	4.402		5.456	124.314
89	4.834		5.256	137.383
89.2	4.878		5.325	138.254
89.4	4.785		5.134	122.399
89.6	5.342		5.209	150.84
89.8	5.004		5.121	135.495
90	5.293		5.114	132.686
90.2	4.805		5.297	130.391
90.4	4.482		5.248	142.828
90.6	4.797		5.227	134.639
90.8	5.463		5.202	150.866
91	5.208		5.363	119.781
91.2	5.29		5.223	119.899
91.4	4.668		5.304	108.35
91.6	4.867		5.411	139.633
91.8	4.576		5.242	136.08
92	5.236		5.306	120.954
92.2	4.722		5.406	124.952
92.4	4.795		5.423	129.038
92.6	5.125		5.332	138.338
92.8	5.071		5.282	148.052
93	4.601		5.236	122.571
93.2	4.699		5.42	131.546
93.4	4.875		5.334	147.994
93.6	4.85		5.259	143.683
93.8	5.171		5.277	142.76
94	4.679		5.388	157.833
94.2	5.32		5.299	137.553
94.4	5.01		5.311	135.71
94.6	5.253		5.43	148.137
94.8	4.399		5.235	165.473
95	4.731		5.253	145.609
95.2	5.114		5.272	145.055
95.4	5.241		5.298	162.945
95.6	5.189		5.299	171.502
95.8	5.157		5.35	128.857
96	4.991		5.305	145.877
96.2	4.895		5.327	123.024
96.4	4.654		5.166	139.53
96.6	5.058		5.284	164.202
96.8	5.231		5.385	130.589
97	4.512		5.371	136.425
97.2	5.206		5.234	151.383
97.4	5.365		5.331	157.114
97.6	4.795		5.335	129.482
97.8	4.159		5.306	132.834
98	4.858		5.373	138.253
98.2	4.8		5.244	128.442
98.4	4.965		5.156	126.454
98.6	4.248		5.288	141.411
98.8	5.089		5.202	126.004
99	5.202		5.384	139.329
99.2	4.74		5.229	148.119
99.4	5.088		5.282	161.023
99.6	4.777		5.236	124.284
99.8	5.188		5.362	129.106
100	4.343		5.281	117.944
100.2	3.588		5.231	132.689
100.4	5.072		5.387	147.019
100.6	5.255		5.368	137.157
100.8	5.039		5.355	160.037
101	5.994		5.399	147.503
101.2	4.856		5.344	161.071
101.4	5.076		5.418	157.678
101.6	4.941		5.364	146.594
101.8	4.921		5.241	154.238
102	5.294		5.533	152.092
102.2	4.487		5.212	121.257
102.4	5.472		5.307	152.61
102.6	5.157		5.211	147.608
102.8	4.915		5.276	139.606
103	5.313		5.318	137.393
103.2	4.614		5.238	136.119
103.4	5.147		5.307	158.724
103.6	4.814		5.39	161.904
103.8	4.87		5.405	129.707
104	5.235		5.301	138.817
104.2	4.828		5.32	128.347
104.4	5.027		5.222	141.979
104.6	5.327		5.114	129.888
104.8	5.194		5.273	141.336
105	4.766		5.308	133.657
105.2	4.719		5.358	152.389
105.4	4.489		5.31	138.06
105.6	4.577		5.406	156.669
105.8	4.398		5.387	136.867
106	4.785		5.433	160.641
106.2	5.461		5.369	163.966
106.4	4.806		5.462	169.527
106.6	4.745		5.348	130.465
106.8	4.458		5.332	119.63
107	5.337		5.342	128.944
107.2	4.891		5.446	158.511
107.4	5.167		5.484	175.415
107.6	4.749		5.362	115.585
107.8	4.683		5.328	161.491
108	4.978		5.346	148.902
108.2	4.949		5.267	139.895
108.4	5.1		5.297	153.111
108.6	4.771		5.154	135.383
108.8	4.918		5.419	154.509
109	5.26		5.337	150.665
109.2	4.829		5.292	137.101
109.4	4.626		5.511	122.532
109.6	4.679		5.257	131.634
109.8	4.681		5.312	153.651
110	5.311		5.264	149.717
110.2	5.016		5.201	138.855
110.4	5.027		5.229	125.377
110.6	4.505		5.338	130.323
110.8	4.85		5.303	144.02
111	4.533		5.304	142.343
111.2	5.734		5.276	157.873
111.4	5.346		5.306	121.525
111.6	4.847		5.192	128.125
111.8	4.328		5.375	165.933
112	4.909		5.273	150.001
112.2	5.118		5.366	148.177
112.4	4.582		5.325	154.411
112.6	4.956		5.337	167.353
112.8	4.876		5.357	145.503
113	4.691		5.243	135.093
113.2	5.188		5.201	124.881
113.4	5.39		5.255	147.089
113.6	4.856		5.322	145.298
113.8	4.847		5.324	140.919
114	4.738		5.299	149.386
114.2	4.856		5.252	151.275
114.4	4.962		5.451	156.938
114.6	5.022		5.312	152.27
114.8	4.63		5.127	140.463
115	4.79		5.363	146.929
115.2	5.167		5.302	144.432
115.4	4.955		5.245	142.818
115.6	4.952		5.234	141.906
115.8	4.857		5.392	157.765
116	4.986		5.243	147.19
116.2	5.273		5.226	134.607
116.4	5.268		5.4	172.848
116.6	5.338		5.301	169.437
116.8	5.507		5.244	133.992
117	5.415		5.253	137.493
117.2	5.02		5.37	143.215
117.4	5.493		5.365	147.433
117.6	5.039		5.263	164.099
117.8	4.597		5.337	165.364
118	4.559		5.385	144.102
118.2	5.512		5.354	168.478
118.4	4.288		5.451	149.324
118.6	5.096		5.298	155.939
118.8	4.371		5.397	176.891
119	5.413		5.372	145.682
119.2	4.798		5.338	195.965
119.4	4.941		5.368	175.302
119.6	3.917		5.445	172.484
119.8	5.021		5.263	151.351
120	4.473		5.292	197.937
120.2	5.11		5.445	192.371
120.4	5.518		5.2	150.273
120.6	4.922		5.309	186.395
120.8	4.677		5.133	156.994
121	5.445		5.277	183.484
121.2	5.071		5.448	202.81
121.4	4.143		5.227	148.116
121.6	4.458		5.25	128.074
121.8	4.654		5.275	134.14
122	4.592		5.347	141.12
122.2	4.742		5.255	116.711
122.4	4.83		5.272	114.794
122.6	4.944		5.389	102.697
122.8	4.577		5.329	134.549
123	4.659		5.239	111.275
123.2	4.56		5.186	117.348
123.4	4.888		5.271	133.935
123.6	4.201		5.236	107.948
123.8	4.33		5.308	128.4
124	4.493		5.349	120.538
124.2	4.488		5.152	136.345
124.4	5.118		5.397	124.561
124.6	4.415		5.321	123.018
124.8	4.651		5.393	140.198
125	4.441		5.23	148.929
125.2	4.609		5.283	160.164
125.4	4.778		5.242	169.586
125.6	4.759		5.341	155.537
125.8	4.79		5.286	149.371
126	4.378		5.2	147.857
126.2	4.001		5.329	110.568
126.4	4.725		5.265	154.46
126.6	4.124		5.287	152.575
126.8	4.57		5.3	137.337
127	4.253		5.404	136.844
127.2	4.714		5.405	161.477
127.4	4.153		5.353	130.342
127.6	4.489		5.309	146.971
127.8	4.285		5.257	132.972
128	4.49		5.216	156.569
128.2	4.365		5.224	150.87
128.4	4.625		5.092	165.198
128.6	4.208		5.305	145.527
128.8	3.682		5.294	165.31
129	4.551		5.348	166.273
129.2	4.356		5.274	149.355
129.4	4.799		5.097	182.744
129.6	4.454		5.177	139.525
129.8	4.622		5.253	157.413
130	4.67		5.253	136.211
130.2	5.56		5.25	163.704
130.4	4.304		5.197	148.392
130.6	4.126		5.392	168.086
130.8	5.13		5.23	156.027
131	4.554		5.121	150.812
131.2	4.605		5.363	182.43
131.4	4.978		5.275	146.764
131.6	4.699		5.305	162.767
131.8	4.521		5.359	173.691
132	3.876		5.427	155.18
132.2	4.594		5.153	151.715
132.4	4.345		5.379	171.142
132.6	4.06		5.271	139.96
132.8	4.322		5.237	132.726
133	5.031		5.294	149.935
133.2	4.47		5.2	151.455
133.4	4.561		5.313	162.312
133.6	4.977		5.115	161.594
133.8	4.651		5.213	162.46
134	4.76		5.281	166.073
134.2	4.426		5.282	166.112
134.4	4.511		5.265	143.051
134.6	4.205		5.337	154.854
134.8	5.225		5.344	187.612
135	4.005		5.297	171.892
135.2	4.539		5.299	182.923
135.4	4.976		5.349	153.028
135.6	4.975		5.174	141.808
135.8	4.757		5.422	167.777
136	4.948		5.384	154.227
136.2	4.42		5.202	137.271
136.4	4.878		5.284	146.867
136.6	4.986		5.234	151.031
136.8	4.922		5.383	153.025
137	4.612		5.203	151.155
137.2	4.778		5.111	148.053
137.4	4.618		5.183	177.487
137.6	4.87		5.283	160.399
137.8	4.926		5.368	168.277
138	4.029		5.342	143.074
138.2	4.097		5.262	138.546
138.4	4.138		5.391	128.886
138.6	4.735		5.43	152.85
138.8	4.619		5.327	155.753
139	4.276		5.421	138.529
139.2	4.621		5.255	148.715
139.4	4.264		5.255	115.472
139.6	5.001		5.382	175.487
139.8	4.033		5.409	153.982
140	3.98		5.372	134.113
140.2	4.386		5.397	177.277
140.4	4.243		5.399	193.646
140.6	4.754		5.477	206.896
140.8	4.304		5.253	138.18
141	4.959		5.484	191.19
141.2	4.693		5.246	170.911
141.4	4.326		5.37	161.789
141.6	5.307		5.339	158.892
141.8	4.675		5.248	157.261
142	4.197		5.245	130.355
142.2	4.123		5.246	122.043
142.4	4.032		5.164	114.895
142.6	4.304		5.256	117.923
142.8	4.346		5.186	172.357
143	3.779		5.499	145.066
143.2	4.146		5.298	161.539
143.4	3.794		5.388	136.971
143.6	4.49		5.283	149.675
143.8	4.351		5.143	118.963
144	4.441		5.232	163.534
144.2	4.03		5.421	138.008
144.4	4.661		5.245	148.422
144.6	4.019		5.254	145.628
144.8	4.997		5.308	197.856
145	4.839		5.422	173.954
145.2	4.181		5.393	182.583
145.4	3.877		5.206	123.671
145.6	4.234		5.294	153.059
145.8	4.765		5.139	156.41
146	4.694		5.304	163.959
146.2	4.016		5.304	147.456
146.4	4.516		5.38	152.86
146.6	4.905		5.479	172.105
146.8	4.65		5.306	154.99
147	5.3		5.379	197.179
147.2	4.318		5.38	157.522
147.4	5.053		5.605	217.586
147.6	3.961		5.326	151.757
147.8	4.061		5.211	112.268
148	4.681		5.315	134.207
148.2	4.775		5.32	168.582
148.4	5.032		5.318	134.252
148.6	4.459		5.293	162.011
148.8	3.304		5.204	128.464
149	4.645		5.158	152.472
149.2	4.067		5.183	153.614
149.4	4.492		5.249	186.956
149.6	4.389		5.272	144.69
149.8	5.162		5.406	171.209
150	4.259		5.308	153.454
150.2	4.255		5.409	168.82
150.4	5.038		5.332	157.772
150.6	3.678		5.302	164.412
150.8	4.247		5.385	181.695
151	4.557		5.374	179.068
151.2	4.175		5.267	151.693
151.4	3.135		5.269	128.408
151.6	3.051		5.287	121.566
151.8	3.505		5.051	173.893
152	4.643		5.206	187.757
152.2	4.47		5.322	180.669
152.4	3.962		5.568	139.943
152.6	4.403		5.181	132.136
152.8	4.653		5.375	171.588
153	5.655		5.267	191.928
153.2	4.273		5.352	166.497
153.4	4.864		5.319	194.538
153.6	4.318		5.406	191.109
153.8	4.91		5.451	162.492
154	4.157		5.379	156.533
154.2	4.743		5.383	160.988
154.4	4.55		5.501	155.587
154.6	5.058		5.516	197.074
154.8	4.314		5.448	176.28
155	4.907		5.389	191.497
155.2	3.954		5.492	159.955
155.4	4.642		5.413	161.348
155.6	3.767		5.508	188.61
155.8	3.824		5.405	155.13
156	4.62		5.312	169.078
156.2	4.751		5.232	161.72
156.4	4.529		5.358	176.799
156.6	4.583		5.36	136.147
156.8	4.824		5.326	162.793
157	4.38		5.395	166.5
157.2	4.097		5.239	168.214
157.4	4.403		5.366	179.2
157.6	4.197		5.174	166.24
157.8	3.991		5.21	230.891
158	3.679		5.261	194.973
158.2	4.351		5.315	177.087
158.4	3.603		5.212	208.407
158.6	4.134		5.084	216.708
158.8	3.743		5.401	186.124
159	4.069		5.204	199.203
159.2	3.826		5.204	192.204
159.4	4.311		5.226	203.812
159.6	3.795		5.263	186.867
159.8	4.349		5.266	156.284
160	4.239		5.133	241.627
160.2	3.778		5.19	200.701
160.4	3.859		5.102	147.477
160.6	3.464		5.292	166.89
160.8	3.625		5.308	201.923
161	3.635		5.148	155.976
161.2	3.756		5.245	157.832
161.4	4.781		5.084	214.794
161.6	4.423		5.2	197.41
161.8	3.878		5.193	169.971
162	3.928		5.067	140.639
162.2	3.523		5.164	144.987
162.4	4.599		5.092	154.565
162.6	4.136		5.118	184.116
162.8	4.055		5.099	171.569
163	4.491		5.012	153.6
163.2	3.44		5.257	170.447
163.4	4.645		5.209	209.802
163.6	3.606		5.268	216.201
163.8	3.822		5.182	168.617
164	3.963		5.128	172.452
164.2	3.735		5.181	166.392
164.4	3.634		5.198	163.047
164.6	3.592		5.191	156.405
164.8	3.577		5.231	115.883
165	3.943		5.107	147.387
165.2	3.464		5.201	162.304
165.4	4.247		5.047	171.519
165.6	3.891		5.283	188.451
165.8	3.771		5.13	144.358
166	4.463		5.092	156.219
166.2	4.026		5.009	158.698
166.4	3.489		5.049	123.041
166.6	4.026		5.058	177.623
166.8	3.467		5.231	192.038
167	3.091		5.194	153.406
167.2	3.664		5.224	162.843
167.4	3.509		5.14	163.941
167.6	3.09		5.296	116.11
167.8	3.095		5.338	161.562
168	3.64		5.197	192.878
168.2	3.596		5.2	191.983
168.4	3.225		5.216	153.828
168.6	3.485		5.167	171.054
168.8	3.78		5.076	171.874
169	3.332		5.231	166.914
169.2	3.316		5.164	187.231
169.4	3.727		4.993	139.192
169.6	3.448		5.276	151.756
169.8	3.203		5.27	132.563
170	3.335		5.258	156.467
170.2	3.694		5.21	158.238
170.4	3.4		5.243	134.934
170.6	4.48		4.992	147.71
170.8	3.373		5.261	132.477
171	3.142		5.21	127.698
171.2	3.616		5.119	152.732
171.4	3.626		5.207	161.531
171.6	3.847		5.161	145.491
171.8	3.197		5.281	142.356
172	3.641		5.212	149.293
172.2	3.417		5.245	142.058
172.4	3.313		5.154	153.117
172.6	3.202		5.251	142.865
172.8	3.147		5.246	153.968
173	2.965		5.205	138.719
173.2	3.508		5.209	170.516
173.4	3.2		5.161	145.738
173.6	3.336		5.23	118.421
173.8	3.066		5.259	110.693
174	3.33		5.163	150.878
174.2	3.039		5.192	150.913
174.4	4.083		5.148	188.111
174.6	3.267		5.219	154.889
174.8	3.494		5.117	158.093
175	4.331		5.075	175.064
175.2	3.661		5.214	129.418
175.4	2.782		5.334	149.294
175.6	3.231		5.2	189.142
175.8	3.454		5.181	177.869
176	3.117		5.276	164.287
176.2	4.278		5.013	168.446
176.4	3.441		5.21	175.605
176.6	3.665		5.113	174.779
176.8	3.947		5.16	178.712
177	3.984		5.142	176.435
177.2	4.082		5.11	166.059
