#		Time (ns)	RMSD	RMSF	rGyr	SASA
		0	0	0.636	4.964	142.003
		0.2	4.267	0.768	5.428	281.002
		0.4	4.236	0.576	5.489	296.427
		0.6	4.17	0.98	5.275	233.15
		0.8	4.211	0.84	5.49	262.126
		1	3.892	0.509	5.39	284.947
		1.2	5.013	0.633	5.078	234.024
		1.4	5.395	0.467	5.225	234.569
		1.6	6.761	0.831	5.12	267.25
		1.8	3.292	0.91	5.207	232.131
		2	3.892	0.529	5.195	290.345
		2.2	4.456	0.49	5.331	298.473
		2.4	3.822	0.713	5.276	263.755
		2.6	5.118	1.109	5.353	312.706
		2.8	4.694	1.081	5.412	319.749
		3	2.892	1.068	5.197	291.819
		3.2	3.747	0.826	5.341	289.076
		3.4	4.065	0.724	5.302	282.81
		3.6	4.312	0.412	5.164	270.214
		3.8	4.44	0.95	5.255	302.364
		4	3.546	1.113	5.282	266.744
		4.2	6.091	0.518	5.185	260.74
		4.4	5.996	0.734	5.28	248.513
		4.6	7.182	0.918	5.118	275.061
		4.8	6.069	1.148	5.255	197.511
		5	6.161	0.558	5.156	227.632
		5.2	8.036	0.706	5.416	266.72
		5.4	5.816		5.102	230.082
		5.6	5.626		5.152	257.131
		5.8	6.56		5.153	196.256
		6	7.163		4.971	183.776
		6.2	6.725		5.125	192.167
		6.4	6.615		5.468	224.075
		6.6	7.039		5.525	248.156
		6.8	7.744		5.477	230.194
		7	6.551		5.222	169.307
		7.2	7.3		5.11	193.032
		7.4	7.437		5.32	183.208
		7.6	7.11		5.275	209.421
		7.8	6.757		5.379	216.721
		8	6.71		5.293	182.684
		8.2	6.785		5.344	182.207
		8.4	6.826		5.276	209.743
		8.6	6.034		5.349	245.634
		8.8	7.773		5.557	237.379
		9	6.895		5.34	221.143
		9.2	6.999		5.506	238.027
		9.4	6.532		5.146	223.564
		9.6	7.112		5.449	235.425
		9.8	7.021		5.411	240.985
		10	7.66		5.466	193.723
		10.2	6.668		5.371	186.371
		10.4	6.949		5.444	215.452
		10.6	8.127		5.422	231.197
		10.8	6.835		5.319	219.629
		11	6.867		5.324	237.928
		11.2	7.584		5.533	214.248
		11.4	6.703		5.307	172.815
		11.6	7.38		5.481	227.594
		11.8	7.228		5.338	227.617
		12	7.784		5.421	234.086
		12.2	7.575		5.237	222.302
		12.4	7.554		5.336	176.173
		12.6	7.863		5.445	241.886
		12.8	7.393		5.316	235.832
		13	7.58		5.413	225.04
		13.2	7.208		5.458	197.135
		13.4	7.224		5.315	213.498
		13.6	7.771		5.412	205.78
		13.8	7.09		5.329	218.93
		14	6.941		5.409	186.482
		14.2	7.259		5.373	207.031
		14.4	8.182		5.171	257.666
		14.6	6.799		5.114	176.282
		14.8	6.357		5.166	226.845
		15	9.103		5.224	229.009
		15.2	7.453		5.309	212.687
		15.4	7.032		5.323	219.035
		15.6	8.255		5.631	232.572
		15.8	7.357		5.294	200.188
		16	7.383		5.456	240.874
		16.2	7.052		5.32	226.733
		16.4	7.684		5.523	222.128
		16.6	7.449		5.43	221.106
		16.8	8.253		5.308	188.034
		17	7.638		5.559	240.531
		17.2	7.15		5.227	196.283
		17.4	6.851		5.383	222.177
		17.6	7.224		5.408	204.262
		17.8	7.518		5.403	205.396
		18	7.597		5.354	167.525
		18.2	8.051		5.331	212.846
		18.4	8.175		5.447	214.12
		18.6	8.505		5.469	196.819
		18.8	8.125		5.286	219.21
		19	6.928		5.269	212.99
		19.2	6.93		5.355	221.443
		19.4	7.875		5.366	220.537
		19.6	7.257		5.284	203.425
		19.8	7.72		5.127	184.56
		20	6.967		5.363	201.365
		20.2	6.169		5.184	196.705
		20.4	6.798		5.421	203.55
		20.6	7.442		5.384	207.601
		20.8	7.584		5.315	236.346
		21	6.907		5.208	217.918
		21.2	6.799		5.349	250.831
		21.4	7.44		5.293	211.793
		21.6	6.88		5.496	201.687
		21.8	6.902		5.35	216.503
		22	8.708		5.431	269.357
		22.2	7.753		5.481	250.255
		22.4	7.209		5.323	220.173
		22.6	7.731		5.355	239.33
		22.8	7.41		5.479	225.296
		23	6.773		5.401	195.435
		23.2	6.554		5.398	239.643
		23.4	7.002		5.361	242.398
		23.6	7.495		5.453	237.049
		23.8	7.429		5.383	219.032
		24	7.047		5.518	225.947
		24.2	7.051		5.244	234.222
		24.4	7.978		5.301	205.84
		24.6	7.563		5.494	238.836
		24.8	7.919		5.377	202.632
		25	6.768		5.377	221.151
		25.2	7.348		5.371	265.96
		25.4	6.861		5.502	234.994
		25.6	7.23		5.395	237.702
		25.8	7.476		5.479	207.172
		26	7.047		5.364	242.158
		26.2	7.166		5.539	248.754
		26.4	7.766		5.444	227.162
		26.6	7.324		5.45	208.241
		26.8	7.208		5.431	216.892
		27	6.841		5.373	225.356
		27.2	7.739		5.588	257.787
		27.4	7.026		5.448	226.666
		27.6	7.166		5.356	218.365
		27.8	7.641		5.309	245.884
		28	7.861		5.307	215.975
		28.2	7.465		5.23	241.296
		28.4	7.485		5.415	240.083
		28.6	7.486		5.377	241.847
		28.8	5.407		5.349	267.485
		29	6.085		5.109	249.201
		29.2	7.659		5.357	235.094
		29.4	7.883		5.339	248.757
		29.6	7.706		5.25	230.425
		29.8	6.711		5.362	210.181
		30	7.299		5.377	236.566
		30.2	7.207		5.331	205.873
		30.4	6.904		5.332	197.765
		30.6	7.767		5.433	223.108
		30.8	5.971		5.345	262.3
		31	7.163		5.329	252.367
		31.2	7.196		5.245	237.996
		31.4	6.301		5.326	206.711
		31.6	9.103		5.521	218.411
		31.8	7.477		5.334	257.841
		32	6.864		5.527	212.095
		32.2	7.794		5.345	263.222
		32.4	7.05		5.059	216.838
		32.6	7.826		5.043	236.241
		32.8	6.565		5.467	302.052
		33	6.634		5.097	243.478
		33.2	7.254		5.287	234.946
		33.4	7.074		5.316	197.872
		33.6	7.284		5.366	231.12
		33.8	7.387		5.408	216.022
		34	7.214		5.346	254.312
		34.2	7.832		5.53	272.302
		34.4	6.829		5.273	219.476
		34.6	6.975		5.285	228.508
		34.8	7.052		5.283	260.528
		35	7.084		5.233	198.809
		35.2	8.346		5.424	207.014
		35.4	8.389		5.595	210.074
		35.6	7.661		5.541	236.588
		35.8	8.249		5.586	234.202
		36	7.833		5.565	229.465
		36.2	7.55		5.31	201.967
		36.4	7.228		5.112	199.069
		36.6	7.995		5.515	202.893
		36.8	7.336		5.538	241.326
		37	7.344		5.332	217.379
		37.2	7.09		5.467	232.566
		37.4	7.515		5.433	249.932
		37.6	7.297		5.24	226.307
		37.8	8.198		5.273	238.666
		38	6.946		5.375	226.97
		38.2	5.746		5.406	226.425
		38.4	7.554		5.509	249.78
		38.6	7.678		5.439	255.226
		38.8	7.532		5.439	218.111
		39	6.992		5.443	237.208
		39.2	7.066		5.409	260.189
		39.4	7.735		5.359	255.267
		39.6	7.347		5.534	267.436
		39.8	6.84		5.398	271.862
		40	7.039		5.315	264.401
		40.2	6.99		5.316	270.902
		40.4	7.411		5.375	274.379
		40.6	7.554		5.427	242.053
		40.8	6.801		5.427	232.711
		41	7.386		5.429	304.891
		41.2	7.659		5.244	224.019
		41.4	6.125		5.457	239.236
		41.6	6.797		5.531	233.244
		41.8	7.117		5.412	245.867
		42	7.961		5.44	224.197
