#			Time (ns)	RMSD	RMSF	rGyr	SASA
			0	0	0.335	4.651	47.042
			0.2	1.746	0.597	4.771	24.773
			0.4	5.067	0.654	5.15	81.962
			0.6	4.4	0.437	5.067	96.622
			0.8	4.338	0.426	5.06	88.195
			1	4.913	0.398	5.095	98.908
			1.2	4.571	0.564	5.147	116.107
			1.4	4.508	0.584	5.064	60.112
			1.6	5	1.537	5.055	92.912
			1.8	4.46	0.43	5.031	103.938
			2	4.683	1.267	5.046	81.996
			2.2	4.667	1.25	5.138	101.647
			2.4	5.066	0.414	5.079	110.584
			2.6	5.339	0.52	5.057	119.888
			2.8	4.264	1.085	5.04	79.235
			3	4.661	1.557	5.086	93.176
			3.2	4.742	1.233	5.057	115.866
			3.4	4.46	0.333	5.024	98.603
			3.6	4.311	0.698	4.912	82.502
			3.8	4.899	0.376	5.079	122.018
			4	3.97	0.381	5.053	77.664
			4.2	4.405	0.57	4.982	89.74
			4.4	4.071	0.582	4.933	100.891
			4.6	4.452	1.401	5.034	104.53
			4.8	4.408	1.416	4.996	106.975
			5	4.669	1.489	5.073	125.382
			5.2	5.762		5.043	156.051
			5.4	6.077		5.055	157.444
			5.6	6.098		4.99	166.897
			5.8	6.063		5.075	170.687
			6	5.894		4.995	146.773
			6.2	5.696		5.07	174.936
			6.4	6.395		5.173	191.377
			6.6	6.451		5.084	197.63
			6.8	5.23		5.056	140.931
			7	5.493		5.082	136.444
			7.2	5.518		5.1	147.056
			7.4	5.444		5.021	118.485
			7.6	7.125		5.027	187.106
			7.8	7.126		5.18	186.147
			8	8.159		5.139	248.778
			8.2	7.533		5.06	231.325
			8.4	6.725		5.041	194.697
			8.6	6.775		5.034	175.937
			8.8	6.326		5.098	180.797
			9	6.658		5.017	218.598
			9.2	7.891		5.03	248.137
			9.4	7.524		4.942	215.444
			9.6	7.473		5.076	216.027
			9.8	7.726		5.172	230.613
			10	7.907		5.079	246.579
			10.2	7.317		4.884	226.623
			10.4	7.335		5.112	216.961
			10.6	7.961		5.093	190.513
			10.8	7.612		5.054	214.376
			11	8.411		5.127	239.151
			11.2	7.33		5.059	160.694
			11.4	7.747		4.991	226.758
			11.6	7.035		5.084	186.799
			11.8	7.706		5.008	220.642
			12	7.495		5.122	207.811
			12.2	8.319		5.036	252.087
			12.4	7.612		5.193	210.263
			12.6	7.702		5.089	206.318
			12.8	6.932		4.975	217.822
			13	7.281		5.153	198.758
			13.2	7.549		5.032	200.856
			13.4	7.905		5.112	199.943
			13.6	7.711		5.088	195.154
			13.8	7.216		4.966	181.104
			14	8.187		4.935	231.689
			14.2	8.675		5.173	259.257
			14.4	8.839		5.118	262.924
			14.6	7.301		4.884	223.539
			14.8	8.292		5.053	263.635
			15	8.747		5.043	252.611
			15.2	8.537		5.083	213.34
			15.4	8.462		5.078	222.479
			15.6	9.246		5.015	250.118
			15.8	8.839		5.107	242.348
			16	8.521		4.99	233.157
			16.2	9.16		5.048	281.328
			16.4	9.041		5.145	261.973
			16.6	8.241		5.164	173.598
			16.8	8.441		5.133	201.386
			17	8.241		5.255	213.5
			17.2	7.183		5.058	207.718
			17.4	7.268		5.12	178.845
			17.6	7.783		5.006	229.798
			17.8	8.385		4.881	206.393
			18	8.462		4.991	221.867
			18.2	8.223		4.924	215.005
			18.4	8.874		5.002	219.367
			18.6	8.488		4.991	230.548
			18.8	8.884		4.864	199.977
			19	8.011		5.078	188.502
			19.2	8.155		4.929	205.88
			19.4	8.516		4.895	204.687
			19.6	8.538		4.899	231.765
			19.8	8.143		5.006	220.557
			20	7.665		5.01	201.132
			20.2	7.288		5.028	201.401
			20.4	7.521		4.997	220.313
			20.6	8.314		4.968	207.727
			20.8	8.356		4.979	241.483
			21	7.76		4.886	223.164
			21.2	6.721		4.996	200.774
			21.4	7.422		4.922	211.816
			21.6	6.824		5.077	207.026
			21.8	6.36		4.946	176.814
			22	6.702		5.108	201.975
			22.2	7.044		4.88	184.729
			22.4	6.318		4.967	166.333
			22.6	6.661		4.908	169.771
			22.8	6.127		4.971	168.01
			23	7.107		5.115	179.073
			23.2	6.838		4.946	151.273
			23.4	6.513		5.016	142.016
			23.6	6.593		4.982	166.19
			23.8	6.694		4.959	172.268
			24	6.787		4.884	172.257
			24.2	6.895		4.957	170.749
			24.4	6.181		4.957	176.903
			24.6	6.604		4.857	171.666
			24.8	7.532		5.167	225.419
			25	7.664		4.809	216.532
			25.2	7.718		4.982	224.369
			25.4	7.549		5.031	212.454
			25.6	8.853		4.967	206.553
			25.8	8.277		4.882	218.259
			26	8.837		5.029	231.46
			26.2	8.345		4.84	248.546
			26.4	9.264		5.111	326.351
			26.6	8.22		5.038	261.463
			26.8	7.893		5.083	265.402
			27	8.724		5.147	249.282
			27.2	7.966		5.098	279.332
			27.4	9.866		5.014	223.193
			27.6	8.965		5.089	280.023
			27.8	9.087		4.926	257.9
			28	9.246		4.95	265.977
			28.2	7.549		5.081	219.551
			28.4	8.182		5.015	250.74
			28.6	7.2		4.98	213.858
			28.8	7.866		4.966	223.487
			29	8.058		5.106	219.298
			29.2	7.472		5.124	230.554
			29.4	7.032		4.944	196.329
			29.6	7.801		5.1	197.612
			29.8	7.544		5.118	232.669
			30	7.622		5.045	241.958
			30.2	6.938		4.826	222.646
			30.4	7.95		5.096	216.487
			30.6	7.909		5.085	215.837
			30.8	8.576		5.007	218.321
			31	8.989		5.027	236.224
			31.2	7.859		5.087	217.737
			31.4	7.964		5.002	213.052
			31.6	8.706		5.135	263.446
			31.8	8.17		4.908	204.986
			32	7.961		5.119	235
			32.2	8.158		4.863	226.898
			32.4	8.46		4.81	220.318
			32.6	9.173		5.122	235.45
			32.8	7.691		4.871	227.508
			33	9.09		4.978	252.728
			33.2	7.916		5.02	234.781
			33.4	8.109		4.885	221.136
			33.6	7.484		5.055	238.902
			33.8	8.692		5.018	237.525
			34	8.406		4.977	222.67
			34.2	8.538		4.836	191.398
			34.4	8.02		4.937	237.683
			34.6	8.104		5.062	253.726
			34.8	8.716		5.118	239.696
			35	8.926		4.846	233.601
			35.2	9.378		4.872	247.903
			35.4	8.914		4.911	258.403
			35.6	9.16		5.087	263.239
			35.8	8.989		5.072	266.985
			36	8.216		4.91	223.877
			36.2	8.479		5.009	257.857
			36.4	9.595		5.12	282.566
			36.6	9.897		5.011	285.524
