#			Time (ns)	RMSD	RMSF	rGyr	SASA
			0	0	0.438	4.757	117.603
			0.2	3.77	0.681	5.404	206.214
			0.4	4.075	0.51	5.364	184.173
			0.6	4.054	0.853	5.331	175.62
			0.8	4.397	0.727	5.272	165.754
			1	4.803	0.56	5.439	178.401
			1.2	4.61	0.695	5.43	179.189
			1.4	4.728	0.47	5.487	205.484
			1.6	4.632	0.741	5.389	179.434
			1.8	4.13	1.519	5.487	214.527
			2	3.782	0.736	5.363	181.892
			2.2	4.08	0.535	5.374	173.909
			2.4	4.771	0.911	5.515	202.567
			2.6	4.717	0.95	5.33	181.071
			2.8	4.944	1.396	5.383	190.95
			3	4.696	1.687	5.358	193.334
			3.2	4.528	1.07	5.49	180.004
			3.4	4.698	0.802	5.362	197.955
			3.6	4.473	0.445	5.41	196.537
			3.8	4.45	1.09	5.44	179.58
			4	4.441	1.305	5.281	181.287
			4.2	4.333	0.627	5.246	205.726
			4.4	4.324	0.868	5.317	204.38
			4.6	3.743	0.991	5.217	203.6
			4.8	4.837	1.252	5.318	201.768
			5	4.441	0.599	5.264	211.782
			5.2	4.956	0.778	5.384	235.585
			5.4	4.213		5.232	231.13
			5.6	4.813		5.311	197.517
			5.8	4.796		5.205	209.409
			6	4.815		5.194	213.443
			6.2	4.707		5.33	201.165
			6.4	4.009		5.087	181.145
			6.6	4.35		5.235	217.686
			6.8	4.617		5.047	237.398
			7	4.971		5.339	300.621
			7.2	5.336		5.036	228.424
			7.4	7.018		5.412	241.67
			7.6	6.132		5.248	224.327
			7.8	6.503		5.236	227.329
			8	6.515		5.403	235.152
			8.2	6.467		5.395	194.493
			8.4	6.405		5.27	234.29
			8.6	6.29		5.171	203.451
			8.8	6.982		5.34	210.87
			9	6.245		5.196	334.733
			9.2	6.038		5.228	327.713
			9.4	9.685		5.341	371.894
			9.6	7.143		5.15	262.157
			9.8	5.055		4.929	280.32
			10	4.358		5.235	246.813
			10.2	4.494		5.263	275.282
			10.4	6.499		5.267	226.435
			10.6	6.526		5.288	210.274
			10.8	6.781		5.351	204.857
			11	6.485		5.361	198.9
			11.2	7.431		5.319	272.536
			11.4	7.067		5.38	244.675
			11.6	4.327		5.196	244.214
			11.8	3.485		4.9	207.177
			12	5.635		5.442	229.038
			12.2	5.259		5.103	154.259
			12.4	5.667		5.33	240.909
			12.6	7.017		5.443	231.129
			12.8	5.689		5.236	203.982
			13	5.622		5.079	170.173
			13.2	5.298		5.101	161.865
			13.4	5.238		5.126	180.102
			13.6	7.029		5.407	220.303
			13.8	6.552		5.432	229.968
