Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.178	4.347	123.653
0.2	2.032	0.299	4.379	143.002
0.4	2.065	0.324	4.385	135.884
0.6	2.075	0.225	4.383	158.214
0.8	1.772	0.288	4.44	133.756
1	2.07	0.27	4.363	154.81
1.2	2.113	0.384	4.376	165.578
1.4	2.394	0.293	4.365	162.066
1.6	2.393	0.268	4.366	162.068
1.8	1.9	0.18	4.392	146.347
2	3.558	0.195	4.326	168.584
2.2	1.802	0.7	4.349	154.439
2.4	2.22	0.382	4.348	139.837
2.6	2.193	0.444	4.343	163.748
2.8	2.082	0.332	4.232	153.491
3	2.563	0.398	4.287	180.87
3.2	2.734	0.79	4.334	165.656
3.4	2.838	0.359	4.264	175.992
3.6	2.87	0.168	4.29	208.382
3.8	2.774	0.544	4.218	182.601
4	2.364	0.879	4.227	204.339
4.2	2.531	0.48	4.174	174.78
4.4	2.657	0.902	4.153	175.334
4.6	2.7	0.863	4.215	183.236
4.8	2.273	1.276	4.266	189.155
5	2.096		4.334	143.049
5.2	2.394		4.275	169.476
5.4	2.396		4.221	145.152
5.6	2.089		4.215	129.49
5.8	2.468		4.237	154.831
6	2.359		4.301	167.109
6.2	1.744		4.391	140.608
6.4	2.242		4.344	158.844
6.6	2.221		4.361	164.795
6.8	2.08		4.386	165.77
7	2.082		4.347	155.121
7.2	1.875		4.373	134.74
7.4	1.338		4.359	139.419
7.6	2.436		4.364	159.077
7.8	2.436		4.356	153.079
8	1.84		4.293	136.685
8.2	2.478		4.399	161.53
8.4	2.039		4.411	168.366
8.6	2.247		4.364	172.418
8.8	1.832		4.358	186.951
9	2.096		4.382	172.155
9.2	2.102		4.356	190.3
9.4	2.117		4.327	166.141
9.6	2.211		4.408	165.269
9.8	1.974		4.345	172.215
10	1.794		4.359	164.828
10.2	2.347		4.336	162.225
10.4	1.332		4.342	147.086
10.6	2.191		4.392	152.511
10.8	2.099		4.414	151.016
11	2.06		4.367	166.538
11.2	2.153		4.42	154.74
11.4	3.122		4.394	163.673
11.6	2.698		4.275	145.664
11.8	2.603		4.387	160.354
12	2.472		4.326	148.77
12.2	2.64		4.263	139.476
12.4	2.543		4.189	126.906
12.6	2.717		4.204	150.244
12.8	2.615		4.256	174.999
13	2.605		4.174	171.378
13.2	2.477		4.309	168.863
13.4	2.59		4.33	150.268
13.6	2.346		4.407	158.062
13.8	2.606		4.198	162.465
14	2.569		4.291	129.679
14.2	2.679		4.302	145.573
14.4	2.83		4.227	157.794
14.6	2.799		4.223	165.098
14.8	2.543		4.264	185.672
15	2.488		4.225	152.383
15.2	2.905		4.218	186.804
15.4	3.091		4.205	171.293
15.6	4.608		4.181	207.689
15.8	3.5		4.158	204.938
16	4.332		4.202	200.195
16.2	5.001		4.208	259.691
16.4	4.271		4.271	234.316
16.6	3.428		4.21	190.37
16.8	4.399		4.265	228.229
17	2.457		4.304	159.613
17.2	3.189		4.248	155.2
17.4	2.621		4.271	147.862
17.6	3.39		4.223	169.66
17.8	3.023		4.217	176.736
18	2.807		4.329	165.586
18.2	2.451		4.193	157.635
18.4	2.928		4.236	162.589
18.6	2.904		4.175	153.902
18.8	2.768		4.212	161.301
19	2.422		4.227	130.942
19.2	2.569		4.249	158.657
19.4	2.888		4.2	141.23
19.6	2.659		4.294	149.19
19.8	2.613		4.162	150.946
20	2.521		4.301	160.028
