Time (ns)	RMSD	RMSF	rGyr	SASA
0.0	0.0	0.487	5.405	51.992
0.2	2.002	0.628	5.077	52.455
0.4	1.321	0.505	5.197	61.205
0.6	1.487	0.687	5.242	66.909
0.8	1.222	0.613	5.288	81.166
1.0	1.808	0.402	5.306	69.034
1.2	2.969	0.351	5.016	82.707
1.4	3.441	0.358	5.03	55.986
1.6	4.368	0.514	5.146	93.762
1.8	3.86	1.201	5.103	96.056
2.0	3.954	0.67	5.147	80.232
2.2	4.744	0.508	5.076	107.273
2.4	4.304	0.801	5.197	80.345
2.6	4.17	0.945	5.101	96.501
2.8	4.289	1.222	5.122	86.842
3.0	4.968	1.319	4.98	107.656
3.2	4.168	0.736	5.15	117.407
3.4	4.426	0.502	4.98	142.968
3.6	3.786	0.3	5.309	103.089
3.8	3.399	0.493	5.228	88.988
4.0	3.978	0.654	5.056	100.838
4.2	4.058	0.47	5.187	107.429
4.4	4.438	0.663	5.197	91.374
4.6	3.65	0.652	5.193	77.834
4.8	4.146	0.61	5.158	109.993
5.0	4.488	0.37	5.173	103.817
5.2	4.197	0.428	5.153	128.436
5.4	4.049		5.142	104.276
5.6	3.827		5.239	112.108
5.8	3.808		5.271	90.818
6.0	2.965		5.198	114.974
6.2	4.36		5.362	122.824
6.4	3.873		5.424	94.713
6.6	3.435		5.261	123.358
6.8	3.912		5.273	91.702
7.0	3.007		5.164	101.101
7.2	3.731		4.994	95.765
7.4	3.859		5.164	76.021
7.6	3.066		5.26	62.514
7.8	4.195		5.138	96.743
8.0	3.813		5.075	107.299
8.2	3.519		4.957	79.238
8.4	4.501		5.086	99.302
8.6	3.46		5.241	68.047
8.8	3.816		4.962	81.305
9.0	3.584		4.974	80.809
9.2	3.696		5.216	74.467
9.4	3.375		5.11	57.035
9.6	3.276		5.091	85.679
9.8	3.049		5.105	119.869
10.0	3.611		4.952	99.552
10.2	3.463		5.261	96.944
10.4	3.285		5.072	108.135
10.6	3.353		5.154	97.882
10.8	3.768		4.972	100.509
11.0	3.192		5.163	96.543
11.2	3.771		4.942	123.817
11.4	3.099		4.982	104.523
11.6	2.821		5.074	126.362
11.8	3.399		4.998	89.21
12.0	3.02		5.176	125.285
12.2	3.11		5.238	121.616
12.4	2.865		5.166	83.618
12.6	3.628		5.142	61.132
12.8	2.913		5.185	87.555
13.0	3.229		5.07	83.164
13.2	3.434		5.211	115.047
13.4	3.727		5.263	113.64
13.6	3.35		5.083	100.117
13.8	4.002		5.282	105.792
14.0	3.562		5.061	79.502
14.2	3.687		5.219	92.764
14.4	2.771		5.242	59.374
14.6	3.905		5.218	90.102
14.8	4.195		5.141	82.32
15.0	3.535		5.251	75.416
15.2	4.24		5.344	90.633
15.4	4.067		5.286	82.795
15.6	3.984		5.254	84.705
15.8	4.077		5.343	93.017
16.0	4.078		5.277	101.781
16.2	4.364		5.366	108.683
16.4	4.775		5.252	82.782
16.6	4.361		5.278	92.114
16.8	4.637		5.246	92.046
17.0	4.198		5.28	73.75
17.2	4.312		5.269	73.018
17.4	3.97		5.136	71.018
17.6	3.797		5.277	78.564
17.8	4.419		5.217	76.685
18.0	4.697		5.206	82.028
18.2	5.01		5.243	110.996
18.4	4.842		5.24	60.918
18.6	3.662		5.328	72.02
18.8	3.653		5.064	109.666
19.0	3.806		5.157	100.499
19.2	3.736		5.129	78.932
19.4	3.861		5.153	99.536
19.6	3.613		5.129	100.816
19.8	3.831		4.844	113.569
20.0	3.799		5.124	109.397
20.2	4.403		4.98	174.135
20.4	3.539		5.009	105.147
20.6	4.211		5.191	110.883
20.8	3.573		5.135	104.824
21.0	4.592		5.071	70.184
21.2	4.407		4.906	111.785
21.4	4.007		5.009	96.797
21.6	4.114		4.977	92.955
21.8	4.071		5.042	85.78
22.0	4.2		5.147	67.374
22.2	4.159		4.943	75.094
22.4	3.8		5.101	80.155
22.6	3.936		5.265	59.776
22.8	3.524		5.04	62.606
23.0	4.536		5.245	90.822
23.2	4.424		5.164	89.577
23.4	4.073		5.113	71.009
23.6	4.49		5.088	75.406
23.8	4.508		5.193	86.531
24.0	3.416		5.079	50.252
24.2	2.667		5.114	87.879
24.4	3.703		5.069	66.612
24.6	4.141		4.947	77.58
24.8	3.189		5.097	73.963
25.0	3.786		5.076	69.201
25.2	4.336		5.105	57.682
25.4	4.361		5.062	71.593
25.6	4.671		5.229	112.367
25.8	5.219		5.288	93.948
26.0	4.338		5.179	65.038
26.2	4.17		5.091	55.839
26.4	4.593		5.111	79.579
26.6	4.432		5.199	71.959
26.8	3.919		4.945	56.393
27.0	3.111		5.262	73.954
27.2	4.499		5.155	62.101
27.4	4.094		5.126	94.072
