Time (ns)	RMSD	RMSF	rGyr	SASA
0.2	0.0	0.205	4.185	135.022
0.4	2.967	0.342	4.382	167.474
0.6	2.721	0.373	4.35	150.661
0.8	2.486	0.271	4.379	154.834
1.0	2.299	0.367	4.335	155.44
1.2	2.89	0.373	4.387	137.723
1.4	2.71	0.512	4.409	134.45
1.6	2.877	0.418	4.402	139.78
1.8	2.483	0.395	4.388	107.021
2.0	2.896	0.244	4.391	107.862
2.2	2.87	0.25	4.398	153.583
2.4	2.81	1.13	4.404	163.974
2.6	2.683	0.631	4.397	147.469
2.8	2.74	0.697	4.386	154.923
3.0	2.744	0.39	4.372	158.788
3.2	2.675	0.497	4.334	154.779
3.4	2.606	1.097	4.351	173.373
3.6	2.813	0.478	4.434	165.411
3.8	2.718	0.211	4.433	162.939
4.0	2.776	0.621	4.391	172.649
4.2	2.815	1.039	4.346	183.664
4.4	2.913	0.498	4.414	151.618
4.6	2.645	1.1	4.4	173.863
4.8	2.694	1.17	4.44	174.572
5.0	2.891	1.458	4.36	158.665
5.2	2.752		4.349	150.247
5.4	2.701		4.459	166.045
5.6	2.629		4.344	175.319
5.8	2.827		4.362	174.779
6.0	2.969		4.419	141.494
6.2	2.832		4.4	172.548
6.4	2.679		4.416	165.045
6.6	2.501		4.412	153.136
6.8	2.722		4.346	155.696
7.0	2.964		4.42	116.059
7.2	2.884		4.393	145.602
7.4	2.619		4.338	162.035
7.6	2.735		4.41	144.733
7.8	2.905		4.446	151.246
8.0	2.714		4.346	170.852
8.2	2.7		4.367	157.095
8.4	2.713		4.391	149.006
8.6	2.498		4.37	155.703
8.8	3.15		4.36	167.696
9.0	3.158		4.404	164.745
9.2	2.802		4.406	183.053
9.4	3.04		4.337	153.116
9.6	2.773		4.345	159.808
9.8	2.639		4.335	177.95
10.0	3.158		4.391	168.192
10.2	2.804		4.35	154.791
10.4	2.958		4.355	149.177
10.6	3.024		4.382	164.661
10.8	2.854		4.257	155.248
11.0	3.081		4.314	150.489
11.2	2.786		4.421	154.343
11.4	2.955		4.362	161.577
11.6	3.043		4.348	147.57
11.8	3.027		4.317	151.593
12.0	2.891		4.359	163.448
12.2	3.026		4.356	165.19
12.4	2.595		4.332	160.04
12.6	2.9		4.366	128.253
12.8	2.909		4.346	164.131
13.0	3.073		4.329	137.23
13.2	2.753		4.382	174.6
13.4	2.704		4.304	160.292
13.6	2.305		4.319	180.961
13.8	2.238		4.262	175.61
14.0	2.574		4.122	141.838
14.2	2.875		4.272	210.621
14.4	2.43		4.286	187.413
14.6	2.428		4.267	180.997
14.8	2.722		4.313	196.577
15.0	2.323		4.197	172.661
15.2	2.436		4.239	145.254
15.4	2.511		4.182	163.43
15.6	2.408		4.231	193.716
15.8	2.233		4.139	184.369
16.0	2.596		4.284	153.16
16.2	2.328		4.298	181.605
16.4	2.24		4.234	176.816
16.6	2.518		4.233	174.771
16.8	2.556		4.177	184.178
17.0	2.677		4.342	171.213
17.2	2.645		4.294	210.338
17.4	2.557		4.243	167.01
17.6	2.558		4.322	175.372
17.8	2.643		4.369	163.694
18.0	2.792		4.407	152.425
18.2	2.779		4.374	142.275
18.4	2.517		4.393	160.493
18.6	2.98		4.348	154.639
18.8	3.054		4.274	150.667
19.0	3.272		4.294	166.405
19.2	3.012		4.292	163.386
19.4	3.454		4.375	175.841
19.6	3.365		4.399	168.592
19.8	3.643		4.337	179.293
20.0	3.55		4.42	145.557
20.2	3.403		4.344	166.796
20.4	3.316		4.402	166.556
20.6	3.629		4.336	176.333
20.8	3.254		4.316	173.238
21.0	2.663		4.316	150.715
21.2	2.752		4.34	159.178
21.4	2.822		4.344	176.492
21.6	2.471		4.376	180.088
21.8	2.875		4.34	168.096
22.0	2.914		4.403	154.9
22.2	2.375		4.22	168.465
22.4	2.435		4.28	181.376
22.6	2.552		4.246	186.538
22.8	2.53		4.264	182.305
23.0	2.458		4.184	175.848
23.2	2.826		4.141	194.252
23.4	2.56		4.29	163.541
23.6	3.096		4.303	198.676
23.8	2.635		4.267	169.397
24.0	3.358		4.303	161.698
24.2	2.803		4.356	183.937
24.4	3.331		4.385	150.049
24.6	3.309		4.408	188.742
24.8	3.392		4.298	152.754
25.0	3.173		4.336	171.073
25.2	3.376		4.344	176.875
25.4	3.266		4.31	171.906
25.6	3.008		4.343	150.874
25.8	3.075		4.331	178.797
26.0	3.143		4.321	145.095
26.2	2.795		4.332	158.944
26.4	3.253		4.311	185.956
26.6	3.105		4.32	170.643
26.8	2.969		4.408	181.051
27.0	3.326		4.3	171.808
27.2	3.268		4.334	195.764
27.4	3.206		4.369	156.483
27.6	3.174		4.375	156.825
27.8	3.296		4.332	159.733
28.0	3.245		4.348	161.343
28.2	3.093		4.332	154.167
28.4	3.259		4.33	155.636
28.6	3.304		4.364	150.148
28.8	3.051		4.388	166.315
29.0	3.34		4.341	151.314
29.2	3.023		4.314	163.293
29.4	3.25		4.36	142.803
29.6	3.253		4.378	160.769
29.8	3.239		4.359	140.902
30.0	2.859		4.38	139.204
30.2	3.225		4.362	177.483
30.4	3.03		4.364	177.085
30.6	3.215		4.332	146.036
30.8	2.584		4.339	146.594
31.0	2.623		4.328	161.253
31.2	3.026		4.34	154.909
31.4	3.392		4.351	153.887
31.6	2.833		4.302	162.981
31.8	3.159		4.362	165.633
32.0	3.027		4.333	170.76
32.2	3.108		4.325	194.155
32.4	3.006		4.294	176.464
32.6	2.877		4.39	166.983
32.8	3.359		4.388	140.425
33.0	3.124		4.338	160.815
33.2	3.139		4.348	176.302
33.4	3.246		4.28	151.017
33.6	3.239		4.342	164.41
33.8	3.229		4.352	147.969
34.0	3.287		4.357	147.62
34.2	3.219		4.294	139.563
34.4	3.083		4.325	149.197
34.6	2.944		4.373	166.397
34.8	3.002		4.388	176.874
35.0	2.871		4.352	179.014
35.2	2.974		4.253	161.193
35.4	2.768		4.297	153.408
35.6	2.66		4.281	182.226
35.8	2.647		4.229	193.524
36.0	2.96		4.268	184.208
36.2	2.712		4.226	184.013
36.4	3.052		4.28	170.264
36.6	2.761		4.285	172.399
36.8	2.66		4.285	178.133
37.0	2.441		4.216	178.547
37.2	2.505		4.291	173.487
37.4	2.699		4.278	157.987
37.6	2.728		4.296	161.615
37.8	2.291		4.331	188.345
38.0	2.711		4.306	163.321
38.2	2.772		4.256	140.281
38.4	2.527		4.283	179.847
38.6	2.392		4.19	165.75
38.8	2.473		4.227	182.909
39.0	4.054		4.173	195.741
39.2	3.574		4.164	188.167
39.4	2.926		4.096	182.752
39.6	2.624		4.089	191.0
39.8	3.842		4.199	239.719
40.0	3.901		4.254	229.717
40.2	4.51		4.183	196.751
40.4	4.289		4.225	191.035
40.6	4.593		4.277	212.319
40.8	4.396		4.24	177.656
41.0	3.864		4.153	207.173
41.2	4.589		4.231	176.096
41.4	4.563		4.17	159.661
41.6	4.802		4.191	180.0
41.8	3.604		4.264	161.11
42.0	4.752		4.288	169.802
42.2	4.112		4.268	166.124
42.4	4.446		4.214	149.762
42.6	4.512		4.27	144.962
42.8	2.726		4.142	196.345
43.0	4.299		4.223	168.706
43.2	3.973		4.283	202.404
43.4	4.486		4.256	189.309
43.6	4.141		4.3	178.506
43.8	4.441		4.294	165.143
44.0	4.36		4.233	187.653
44.2	4.105		4.197	182.463
44.4	4.705		4.262	179.156
44.6	4.182		4.249	163.429
44.8	4.236		4.263	173.333
45.0	3.82		4.204	153.01
45.2	3.978		4.231	150.024
45.4	4.624		4.251	157.909
45.6	4.283		4.316	188.227
45.8	4.254		4.269	194.043
46.0	4.099		4.102	182.019
46.2	3.853		4.25	163.451
46.4	3.789		4.282	165.706
46.6	4.014		4.295	165.503
46.8	4.085		4.311	166.102
47.0	4.05		4.243	178.629
47.2	4.079		4.221	183.188
47.4	4.281		4.254	200.848
47.6	4.153		4.31	169.582
47.8	4.315		4.254	182.35
48.0	3.824		4.284	169.784
48.2	4.172		4.349	152.409
48.4	3.822		4.196	181.165
48.6	4.159		4.337	184.614
48.8	4.386		4.308	173.299
49.0	4.477		4.303	186.349
49.2	4.164		4.369	181.676
49.4	4.18		4.146	168.023
49.6	4.135		4.259	169.986
49.8	3.853		4.166	130.503
50.0	3.844		4.275	156.175
50.2	4.05		4.182	169.816
50.4	3.716		4.299	226.575
50.6	4.144		4.309	173.37
50.8	3.882		4.284	183.536
51.0	4.08		4.314	169.827
51.2	3.927		4.16	166.54
51.4	3.305		4.37	132.364
51.6	3.95		4.271	136.285
51.8	2.794		4.201	130.924
52.0	3.932		4.304	137.223
52.2	3.468		4.16	111.902
52.4	2.968		4.196	123.772
52.6	2.486		4.173	108.674
52.8	2.539		4.257	106.435
53.0	2.086		4.224	109.085
53.2	2.088		4.127	119.962
53.4	2.195		4.101	114.506
53.6	2.461		4.275	130.58
53.8	2.664		4.198	100.0
54.0	2.676		4.257	123.139
54.2	2.327		4.264	113.193
54.4	2.199		4.196	112.6
54.6	2.169		4.268	127.945
54.8	2.238		4.205	122.083
55.0	2.12		4.214	123.593
55.2	2.115		4.252	127.455
55.4	1.838		4.254	110.257
55.6	2.348		4.221	135.527
55.8	2.614		4.213	113.951
56.0	2.276		4.297	128.143
56.2	2.975		4.18	139.06
56.4	2.276		4.262	151.871
56.6	2.388		4.165	117.572
56.8	2.18		4.27	142.226
57.0	2.343		4.179	129.748
57.2	1.897		4.219	115.715
57.4	2.629		4.239	126.511
57.6	2.388		4.223	98.643
57.8	2.177		4.185	127.885
58.0	2.405		4.258	116.507
58.2	2.184		4.199	122.921
58.4	1.796		4.197	138.112
58.6	2.42		4.266	103.549
58.8	2.286		4.19	122.125
59.0	2.262		4.199	129.544
59.2	3.031		4.149	97.997
59.4	2.35		4.219	119.861
59.6	2.479		4.195	120.152
59.8	1.982		4.342	128.931
60.0	2.507		4.2	129.24
60.2	2.655		4.217	124.518
60.4	2.193		4.262	119.067
60.6	2.731		4.191	123.011
60.8	2.585		4.179	106.097
61.0	2.559		4.204	97.439
61.2	2.629		4.191	123.819
61.4	2.375		4.238	130.382
61.6	2.214		4.175	122.101
61.8	2.127		4.216	115.09
62.0	2.296		4.228	136.781
62.2	2.464		4.232	132.0
62.4	2.322		4.171	104.892
62.6	2.372		4.284	113.748
62.8	2.065		4.27	126.133
63.0	2.213		4.266	122.952
63.2	2.151		4.271	119.319
63.4	2.165		4.234	126.274
63.6	2.525		4.134	136.6
63.8	2.447		4.218	136.458
64.0	2.293		4.183	138.305
64.2	1.97		4.244	130.826
64.4	2.092		4.215	123.714
64.6	2.141		4.204	130.33
64.8	2.439		4.187	107.973
65.0	2.531		4.175	111.092
65.2	2.735		4.096	83.195
65.4	2.398		4.252	132.197
65.6	2.631		4.209	109.819
65.8	2.666		4.112	92.516
66.0	2.394		4.203	126.95
66.2	2.681		4.218	104.396
66.4	2.614		4.202	102.353
66.6	2.652		4.194	101.359
66.8	2.66		4.197	132.298
67.0	2.315		4.172	110.756
67.2	1.982		4.206	124.786
67.4	2.364		4.166	134.021
67.6	2.463		4.234	137.104
67.8	2.363		4.223	153.176
68.0	3.197		4.169	141.208
68.2	2.386		4.147	102.328
68.4	1.788		4.223	106.322
68.6	2.126		4.206	110.983
68.8	2.053		4.22	142.443
69.0	2.164		4.289	127.679
69.2	2.206		4.284	124.623
69.4	1.945		4.219	130.86
69.6	2.585		4.196	134.885
69.8	2.354		4.152	129.04
70.0	2.533		4.213	119.787
70.2	2.607		4.168	113.514
70.4	2.439		4.187	116.375
70.6	1.818		4.236	142.209
70.8	2.295		4.222	138.06
71.0	2.229		4.239	130.469
71.2	2.479		4.139	117.838
71.4	2.145		4.257	127.98
71.6	2.58		4.243	129.655
71.8	2.363		4.194	136.045
72.0	2.526		4.217	110.771
72.2	2.388		4.221	124.18
72.4	2.413		4.25	146.5
72.6	2.518		4.216	124.464
72.8	2.359		4.217	149.702
73.0	2.297		4.215	120.813
73.2	2.139		4.222	112.208
73.4	2.728		4.194	142.419
73.6	2.369		4.159	122.634
73.8	2.496		4.255	124.594
74.0	2.264		4.166	106.97
74.2	2.458		4.196	129.496
74.4	2.471		4.228	116.253
74.6	2.361		4.269	112.439
74.8	1.851		4.26	150.303
75.0	2.395		4.192	126.21
75.2	2.438		4.278	136.685
75.4	2.259		4.213	117.796
