Time (ns),RMSD_Mean,RMSD_StdDev,rGyr_Mean,rGyr_StdDev,SASA_Mean,SASA_StdDev
0.0,0.0,0.0,4.709,0.05406477596365319,52.08533333333333,9.320684756676055
0.2,1.8490000000000002,0.8690897537078666,4.8036666666666665,0.08203251387915245,31.947000000000003,12.916372671923025
0.4,2.9916666666666667,1.8312447497080597,4.9046666666666665,0.2125801809514081,64.43866666666666,30.7957727185621
0.6,3.1620000000000004,1.1885503775608337,4.927666666666667,0.14645590917861012,78.20433333333334,24.481535702102786
0.8,3.6426666666666665,0.954828431359966,4.902666666666667,0.14769676141789034,108.96833333333332,18.007483925671945
1.0,3.885666666666667,0.9842770612654415,4.937666666666666,0.14413304039439837,118.17233333333333,24.0486096133089
1.2,3.795666666666667,0.672422734099118,4.990666666666667,0.13693185653212092,135.303,17.34838355582444
1.4,4.203666666666667,0.9401969651798143,4.998333333333334,0.11897198549798768,144.87866666666665,89.63134029084544
1.6,4.651,1.5325981208392498,4.9863333333333335,0.06375996654118714,153.43800000000002,65.01085634722865
1.8,4.956333333333333,0.8381171358070025,5.084666666666666,0.06297883242275411,171.89433333333332,63.62999373199193
2.0,5.497333333333334,0.8395441223267147,5.082666666666667,0.03700450423034104,185.20400000000004,98.89081374930637
2.2,5.665666666666667,1.478378278159326,5.177333333333333,0.17632167573311386,209.95933333333335,124.04040700648049
2.4,5.771666666666667,0.9585699418056743,5.170000000000001,0.10913752791776107,202.5176666666667,84.10992394678131
2.6,5.7746666666666675,0.41654091435696083,5.139666666666666,0.19093017921044667,183.76699999999997,56.927790322477826
2.8,5.801666666666667,1.6789342849954947,5.115333333333333,0.19051859051896555,239.987,172.54699026352216
3.0,5.625333333333333,1.0709922190816015,5.178333333333334,0.1347825409069489,254.24300000000002,168.3333969745754
3.2,5.772666666666666,1.2053237462745572,5.1273333333333335,0.07602850342689459,242.769,119.30389729174819
3.4,5.9093333333333335,1.3810146028675196,5.142666666666667,0.14980765445508226,239.463,141.58599980577176
3.6,5.808333333333334,1.515826617174053,5.099,0.21179943342700414,248.29133333333334,162.52574641986214
3.8,6.082000000000001,1.33216703156924,5.172000000000001,0.10638138934982967,265.145,134.39001661953913
4.0,5.453,1.4378556951238186,5.2026666666666666,0.14139424787923055,232.94833333333335,147.2024346481176
4.2,5.257666666666666,0.7835332369040467,5.213333333333333,0.2017729747348074,243.58933333333334,134.057785634902
4.4,5.4750000000000005,1.275396800999595,5.093333333333334,0.147079343666381,254.75500000000002,152.71428586743284
4.6,5.2156666666666665,0.6615862251689748,5.201333333333333,0.1450011494207318,182.39633333333333,80.02818459976042
4.8,4.453333333333334,1.131681197746668,5.23,0.20284969805252331,171.37666666666667,56.38849468050494
5.0,4.730666666666667,1.0888105130523555,5.258333333333333,0.164275175645419,197.97166666666666,71.03613124553824
5.2,5.436,0.42824175415295507,5.171666666666667,0.11144654922128967,217.894,54.76547059050987
5.4,5.663333333333334,0.8235061222197038,5.2123333333333335,0.13731108233982195,218.64333333333332,70.99012073051667
5.6,5.769666666666666,0.8561006560757523,5.2026666666666666,0.1846329692480011,224.78599999999997,77.92311345807481
5.8,5.854333333333333,1.1453459448277337,5.177666666666667,0.10955059713818693,206.39000000000001,42.214949709788826
6.0,5.755666666666667,0.5331344420812949,5.156666666666667,0.15024091764007996,184.65533333333335,33.0521359420739
6.2,5.322,0.3898666438668482,5.073333333333333,0.05507570547286116,199.58233333333337,36.638776321451196
