Time (ns),RMSD_Mean,RMSD_StdDev,rGyr_Mean,rGyr_StdDev,SASA_Mean,SASA_StdDev
0.2,0.0,0.0,4.257333333333334,0.08237920449563345,120.26299999999999,16.71386224066717
0.4,2.3733333333333335,0.5160526458931621,4.331333333333332,0.08517237423797301,144.78233333333333,21.855950959254397
0.6,2.2896666666666667,0.37365402892693844,4.351666666666667,0.03253203549323832,141.11566666666667,8.279234405024022
0.8,2.181666666666667,0.26745903113062636,4.3326666666666656,0.08373967598058484,150.77533333333332,10.099386384000438
1.0,2.009,0.2674677550659144,4.3196666666666665,0.12868695867621302,137.14666666666665,16.855742918463523
1.2,2.4333333333333336,0.41789153297636156,4.333333333333333,0.07315964279118183,152.95200000000003,14.390244021558493
1.4,2.4466666666666668,0.3046511666370791,4.329666666666667,0.1100742173868766,151.40099999999998,15.748314290742366
1.6,2.667,0.24758634857358336,4.3373333333333335,0.08207516879868929,149.82666666666668,11.303640534506279
1.8,2.499,0.11483901775964482,4.314666666666667,0.1085234229709571,141.28966666666668,29.90041592241375
2.0,2.3366666666666664,0.5092046085154114,4.329666666666667,0.10709964207845564,130.721,20.23637870272249
2.2,3.045,0.4516846244892557,4.32,0.08116649555081205,167.786,13.821288615755046
2.4,2.357666666666667,0.5118831246811456,4.324666666666666,0.09389533179734402,163.99699999999999,9.569520729900745
2.6,2.4339999999999997,0.23347590882144545,4.317,0.09920181449953408,148.13266666666667,8.646623406471079
2.8,2.5696666666666665,0.3266991480450068,4.325333333333333,0.07116412954103597,171.10433333333333,20.85632926315974
3.0,2.3726666666666665,0.33829178726852577,4.289000000000001,0.07353230582539882,159.76133333333334,6.809374591938176
3.2,2.699,0.14945233353815518,4.297,0.03315116890850153,178.32433333333333,22.38134424768391
3.4,2.630333333333333,0.09389533179734401,4.320333333333333,0.03932344508474984,167.31133333333335,5.426771815115618
3.6,2.8053333333333335,0.037098966742125476,4.296333333333333,0.12468493627272448,176.302,11.049262011555333
3.8,2.889666666666667,0.1822973761010655,4.34,0.08061637550770931,190.17099999999996,24.027076247433858
