Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_109,2,-7.09,0.6235,7.341
candidate_109,3,15.17,0.5626,6.778
candidate_109,4,-8.44,0.5229,7.025
candidate_109,5,13.13,0.4858,6.151
candidate_109,6,-8.1,0.4824,6.979
candidate_109,7,5.66,0.4654,5.959
candidate_109,8,5.22,0.4437,6.041
candidate_109,9,2.47,0.3859,5.055
candidate_11,1,-2.32,0.6563,5.621
candidate_11,2,21.04,0.5167,6.339
candidate_11,3,24.93,0.2484,6.107
candidate_11,4,5.89,0.1999,5.491
candidate_11,5,24.35,0.1971,5.761
candidate_11,6,15.88,0.1798,5.785
candidate_11,7,9.89,0.1794,5.801
candidate_11,8,6.01,0.1734,5.111
candidate_11,9,5.44,0.1728,5.163
candidate_110,1,9.92,0.6115,5.512
candidate_110,2,-1.64,0.6059,6.052
candidate_110,3,18.64,0.5377,6.536
candidate_110,4,3.49,0.5244,5.524
candidate_110,5,3.99,0.5019,5.491
candidate_110,6,15.91,0.464,5.265
candidate_110,7,4.29,0.4623,5.419
candidate_110,8,22.87,0.4197,6.817
candidate_110,9,-2.39,0.411,4.575
candidate_111,1,-6.76,0.5193,6.732
candidate_111,2,18.6,0.3883,5.312
candidate_111,3,23.74,0.3821,5.904
candidate_111,4,73.59,0.3611,5.275
candidate_111,5,31.6,0.2277,5.366
candidate_111,6,-6.52,0.2132,5.044
candidate_111,7,-6.11,0.165,5.918
candidate_111,8,12.45,0.1513,4.66
candidate_111,9,15.59,0.1393,5.18
candidate_112,1,2.02,0.5604,5.625
candidate_112,2,0.09,0.493,5.77
candidate_112,3,18.28,0.4803,5.826
candidate_112,4,47.97,0.4566,5.535
candidate_112,5,5.92,0.4083,5.418
candidate_112,6,14.04,0.3813,5.038
candidate_112,7,16.93,0.3658,5.039
candidate_112,8,25.27,0.3616,4.933
candidate_112,9,5.06,0.3589,5.433
candidate_113,1,-1.29,0.5818,5.94
candidate_113,2,14.13,0.3974,5.942
candidate_113,3,15.14,0.3684,5.381
candidate_113,4,-1.42,0.3019,5.497
candidate_113,5,0.36,0.277,5.917
candidate_113,6,14.6,0.2629,5.528
candidate_113,7,-1.78,0.2369,4.992
candidate_113,8,3.98,0.2306,5.142
candidate_113,9,17.58,0.2209,4.876
candidate_114,1,-5.04,0.3419,6.396
candidate_114,2,-4.07,0.3035,5.674
candidate_114,3,11.95,0.273,5.492
candidate_114,4,14.21,0.2723,5.888
candidate_114,5,22.99,0.2671,5.834
candidate_114,6,13.13,0.2524,5.031
candidate_114,7,13.16,0.2244,5.245
candidate_114,8,5.08,0.1976,5.902
candidate_114,9,0.33,0.1959,5.406
candidate_115,1,5.11,0.5405,5.618
candidate_115,2,7.0,0.4891,5.207
candidate_115,3,3.02,0.4805,5.436
candidate_115,4,1.59,0.4637,5.565
candidate_115,5,28.11,0.4587,5.65
candidate_115,6,0.63,0.4351,4.775
candidate_115,7,6.66,0.4295,5.032
candidate_115,8,8.36,0.4176,5.51
candidate_115,9,10.74,0.4095,4.401
candidate_116,1,-6.47,0.1769,5.666
candidate_116,2,-7.14,0.1048,4.87
candidate_116,3,-6.58,0.1009,5.619
candidate_116,4,-0.64,0.0577,4.993
candidate_116,5,-6.22,0.0415,5.04
candidate_116,6,-6.78,0.0401,5.183
candidate_116,7,7.73,0.0376,4.613
candidate_116,8,5.22,0.0362,4.541
candidate_116,9,-4.81,0.0355,5.294
candidate_117,1,6.42,0.5198,6.077
candidate_117,2,0.74,0.5068,5.685
candidate_117,3,11.4,0.4183,5.649
candidate_117,4,12.43,0.4156,5.62
candidate_117,5,10.61,0.413,5.034
candidate_117,6,7.04,0.4106,5.687
candidate_117,7,14.42,0.4053,5.725
candidate_117,8,2.06,0.4,5.685
candidate_117,9,15.38,0.382,5.487
candidate_118,1,24.08,0.569,5.049
candidate_118,2,11.42,0.4685,4.931
candidate_118,3,12.96,0.4206,4.831
candidate_118,4,1.83,0.393,4.463
candidate_118,5,9.29,0.3683,4.528
candidate_118,6,9.62,0.2867,4.401
candidate_118,7,13.76,0.2797,4.603
candidate_118,8,20.93,0.2752,3.862
candidate_118,9,21.26,0.2597,4.271
candidate_119,1,-1.8,0.8181,6.039
candidate_119,2,18.56,0.6206,6.712
candidate_119,3,8.01,0.6088,5.692
candidate_119,4,3.5,0.5774,5.682
candidate_119,5,14.42,0.5757,5.272
candidate_119,6,18.31,0.5506,5.467
candidate_119,7,24.57,0.5353,5.882
candidate_119,8,15.63,0.5314,5.565
candidate_119,9,4.45,0.5113,5.769
candidate_12,1,-1.42,0.8613,5.222
candidate_12,2,5.45,0.6071,6.074
candidate_12,3,1.07,0.5666,5.649
candidate_12,4,1.9,0.5661,5.932
candidate_12,5,10.74,0.5643,5.692
candidate_12,6,11.0,0.539,5.506
candidate_12,7,16.26,0.5353,4.905
candidate_12,8,9.53,0.5346,5.421
candidate_12,9,10.62,0.5235,5.564
candidate_120,1,24.81,0.6505,6.118
candidate_120,2,3.46,0.6118,5.978
candidate_120,3,18.23,0.6051,5.766
candidate_120,4,-7.79,0.592,6.452
candidate_120,5,11.0,0.5799,4.795
candidate_120,6,7.14,0.575,6.506
candidate_120,7,-0.53,0.5715,5.952
candidate_120,8,8.25,0.5638,5.352
candidate_120,9,42.3,0.5612,6.211
candidate_121,1,9.22,0.579,5.795
candidate_121,2,6.3,0.5266,5.207
candidate_121,3,7.7,0.5234,5.09
candidate_121,4,15.66,0.5005,5.331
candidate_121,5,43.18,0.4891,5.425
candidate_121,6,17.54,0.4883,4.928
candidate_121,7,22.88,0.4859,6.005
candidate_121,8,1.46,0.4724,5.241
candidate_121,9,5.58,0.4723,5.302
candidate_122,1,29.99,0.5154,6.58
candidate_122,2,16.64,0.3847,6.235
candidate_122,3,26.65,0.3073,5.706
candidate_122,4,12.91,0.2545,5.317
candidate_122,5,22.39,0.2362,6.019
candidate_122,6,4.18,0.2313,5.319
candidate_122,7,14.29,0.2214,4.824
candidate_122,8,15.57,0.2128,5.255
candidate_122,9,7.38,0.2103,5.841
candidate_123,1,16.04,0.4972,5.428
candidate_123,2,20.98,0.4933,5.752
candidate_123,3,5.98,0.4391,5.676
candidate_123,4,12.98,0.3953,5.62
candidate_123,5,6.21,0.371,5.338
candidate_123,6,10.64,0.3332,5.201
candidate_123,7,12.48,0.3106,5.099
candidate_123,8,14.76,0.2873,5.506
candidate_123,9,24.48,0.2768,5.272
candidate_124,1,19.56,0.4872,4.561
candidate_124,2,10.41,0.4599,4.541
candidate_124,3,12.18,0.4062,5.528
candidate_124,4,6.62,0.4024,5.066
candidate_124,5,10.25,0.4013,5.054
candidate_124,6,12.41,0.3544,4.918
candidate_124,7,1.98,0.3176,5.03
candidate_124,8,14.27,0.2784,4.757
candidate_124,9,17.88,0.2761,4.533
candidate_125,1,-7.51,0.8949,6.5
candidate_125,2,-7.87,0.8533,6.717
candidate_125,3,-6.71,0.8388,6.545
candidate_125,4,17.91,0.6834,6.0
candidate_125,5,7.48,0.6449,6.321
candidate_125,6,15.4,0.6189,6.312
candidate_125,7,12.88,0.6044,6.072
candidate_125,8,1.27,0.5979,5.584
candidate_125,9,8.51,0.588,5.431
candidate_126,1,-6.88,0.887,7.464
candidate_126,2,-6.88,0.6827,7.171
candidate_126,3,13.27,0.6534,5.444
candidate_126,4,2.67,0.6345,5.825
candidate_126,5,-7.84,0.5681,6.927
candidate_126,6,-5.83,0.5277,6.867
candidate_126,7,3.77,0.4762,5.488
candidate_126,8,11.75,0.4667,5.691
candidate_126,9,-2.15,0.4654,5.818
candidate_127,1,10.33,0.6992,6.603
candidate_127,2,0.9,0.6298,5.993
candidate_127,3,-7.01,0.6145,7.006
candidate_127,4,16.28,0.5996,5.787
candidate_127,5,0.32,0.5967,5.143
candidate_127,6,8.07,0.5809,5.202
candidate_127,7,-2.92,0.5579,6.373
candidate_127,8,9.17,0.5495,5.226
candidate_127,9,12.49,0.5482,4.801
candidate_128,1,-8.12,0.5339,6.956
candidate_128,2,6.08,0.4818,6.263
candidate_128,3,0.4,0.4328,6.289
candidate_128,4,9.74,0.4106,6.354
candidate_128,5,2.36,0.3789,5.545
candidate_128,6,7.13,0.377,5.546
candidate_128,7,-4.22,0.3709,6.195
candidate_128,8,2.8,0.3652,5.951
candidate_128,9,-2.6,0.3389,6.068
candidate_129,1,-8.49,0.9764,7.569
candidate_129,2,-8.52,0.9563,7.437
candidate_129,3,-7.73,0.9517,7.487
candidate_129,4,-8.51,0.9494,7.557
candidate_129,5,-8.46,0.948,7.468
candidate_129,6,-7.93,0.9208,7.395
candidate_129,7,-7.18,0.9183,7.331
candidate_129,8,-7.92,0.9023,7.38
candidate_129,9,-8.38,0.89,7.32
candidate_13,1,-8.04,0.8117,6.925
candidate_13,2,47.48,0.5077,6.419
candidate_13,3,20.65,0.5032,6.759
candidate_13,4,4.08,0.4511,5.915
candidate_13,5,18.29,0.438,5.027
candidate_13,6,4.46,0.4274,5.781
candidate_13,7,-8.07,0.3817,6.326
candidate_13,8,11.34,0.3725,5.409
candidate_13,9,19.45,0.362,5.161
candidate_130,1,11.07,0.678,7.053
candidate_130,2,54.84,0.6204,6.71
candidate_130,3,8.33,0.3834,5.893
candidate_130,4,49.94,0.3523,6.272
candidate_130,5,28.46,0.3476,6.043
candidate_130,6,4.45,0.3339,5.407
candidate_130,7,15.15,0.3141,5.669
candidate_130,8,14.38,0.3008,5.165
candidate_130,9,17.09,0.2894,5.895
candidate_131,1,11.19,0.377,5.323
candidate_131,2,-1.15,0.3679,5.031
candidate_131,3,14.85,0.2953,4.658
candidate_131,4,5.07,0.2808,4.81
candidate_131,5,24.76,0.1541,5.141
candidate_131,6,1.33,0.1522,4.613
candidate_131,7,5.73,0.1463,4.474
candidate_131,8,15.35,0.1422,5.091
candidate_131,9,5.33,0.1282,4.61
candidate_132,1,43.99,0.1633,5.951
candidate_132,2,104.07,0.1081,5.836
candidate_132,3,26.18,0.0978,5.385
candidate_132,4,5.61,0.0856,5.293
candidate_132,5,-4.12,0.0833,5.724
candidate_132,6,18.68,0.0743,5.4
candidate_132,7,0.96,0.071,5.385
candidate_132,8,-5.21,0.0594,5.217
candidate_132,9,33.74,0.0526,4.553
candidate_133,1,12.2,0.6105,5.795
candidate_133,2,3.32,0.5739,5.863
candidate_133,3,17.32,0.5407,5.914
candidate_133,4,7.39,0.5292,5.927
candidate_133,5,-0.12,0.5113,5.831
candidate_133,6,6.33,0.5091,5.625
candidate_133,7,6.58,0.502,5.707
candidate_133,8,3.96,0.4942,5.401
candidate_133,9,3.72,0.4661,5.679
candidate_134,1,2.87,0.624,5.807
candidate_134,2,4.96,0.6224,5.484
candidate_134,3,4.83,0.6224,5.921
candidate_134,4,3.53,0.6222,5.675
candidate_134,5,7.69,0.6211,5.73
candidate_134,6,-4.95,0.6077,5.636
candidate_134,7,15.98,0.6009,5.733
candidate_134,8,2.96,0.5998,5.19
candidate_134,9,5.26,0.5906,5.264
candidate_135,1,6.98,0.6405,5.721
candidate_135,2,1.73,0.6179,5.791
candidate_135,3,1.32,0.6099,5.448
candidate_135,4,8.73,0.5921,5.494
candidate_135,5,13.05,0.5887,5.162
candidate_135,6,-0.65,0.5588,5.268
candidate_135,7,-0.49,0.5407,4.986
candidate_135,8,3.32,0.5374,5.348
candidate_135,9,3.38,0.524,5.257
candidate_136,1,-0.49,0.8653,4.909
candidate_136,2,-1.16,0.8224,4.963
candidate_136,3,37.73,0.4439,6.491
candidate_136,4,23.94,0.4293,6.74
candidate_136,5,18.14,0.3271,5.531
candidate_136,6,4.06,0.3024,5.174
candidate_136,7,9.37,0.2424,5.27
candidate_136,8,6.4,0.2053,5.266
candidate_136,9,9.64,0.1948,5.152
candidate_137,1,-6.76,0.9878,7.489
candidate_137,2,-6.54,0.9558,7.385
candidate_137,3,-6.51,0.9175,7.041
candidate_137,4,-5.11,0.7778,6.839
candidate_137,5,8.89,0.5944,5.353
candidate_137,6,2.51,0.4823,5.503
candidate_137,7,7.93,0.4713,5.397
candidate_137,8,4.02,0.4325,5.158
candidate_137,9,14.18,0.4321,5.772
candidate_138,1,-0.86,0.6346,5.329
candidate_138,2,4.61,0.6308,5.678
candidate_138,3,-1.45,0.6293,5.187
candidate_138,4,3.26,0.6247,5.491
candidate_138,5,10.59,0.6099,5.464
candidate_138,6,3.89,0.5859,5.012
candidate_138,7,21.89,0.5806,5.3
candidate_138,8,49.73,0.5643,5.818
candidate_138,9,1.29,0.5617,5.472
candidate_139,1,5.55,0.541,6.064
candidate_139,2,-8.14,0.5295,6.887
candidate_139,3,3.97,0.5234,5.764
candidate_139,4,-4.62,0.5158,6.908
candidate_139,5,5.83,0.5069,6.277
candidate_139,6,7.9,0.5046,6.075
candidate_139,7,18.79,0.484,5.103
candidate_139,8,-5.33,0.476,6.935
candidate_139,9,6.21,0.4687,5.143
candidate_14,1,31.32,0.4584,6.024
candidate_14,2,15.9,0.3334,5.951
candidate_14,3,8.11,0.3225,6.36
candidate_14,4,13.83,0.3165,6.25
candidate_14,5,16.78,0.2784,5.403
candidate_14,6,1.28,0.2692,6.042
candidate_14,7,13.92,0.2593,5.304
candidate_14,8,5.07,0.2529,5.402
candidate_14,9,5.79,0.241,5.793
candidate_140,1,3.31,0.5229,5.036
candidate_140,2,11.57,0.5201,5.11
candidate_140,3,6.22,0.5177,5.161
candidate_140,4,3.96,0.516,5.55
candidate_140,5,5.66,0.5095,5.22
candidate_140,6,4.89,0.508,4.732
candidate_140,7,7.07,0.4654,5.564
candidate_140,8,4.38,0.4636,5.309
candidate_140,9,3.04,0.4534,4.994
candidate_141,1,-1.75,0.8463,6.176
candidate_141,2,25.02,0.6806,6.689
candidate_141,3,16.01,0.617,5.089
candidate_141,4,-0.54,0.5947,5.706
candidate_141,5,6.4,0.5882,4.988
candidate_141,6,8.15,0.5766,5.674
candidate_141,7,12.58,0.5669,5.013
candidate_141,8,-0.06,0.5608,5.112
candidate_141,9,2.68,0.5472,5.307
candidate_142,1,10.29,0.6228,5.997
candidate_142,2,11.03,0.5494,5.779
candidate_142,3,4.9,0.5328,5.672
candidate_142,4,9.94,0.4248,5.66
candidate_142,5,13.69,0.4208,4.846
candidate_142,6,12.56,0.3907,5.045
candidate_142,7,10.29,0.3838,4.842
candidate_142,8,-0.4,0.3788,5.647
candidate_142,9,5.26,0.3754,5.1
candidate_143,1,20.95,0.6021,6.16
candidate_143,2,11.01,0.5579,6.911
candidate_143,3,8.12,0.4393,5.55
candidate_143,4,-0.9,0.4242,5.244
candidate_143,5,8.25,0.4115,5.734
candidate_143,6,-3.17,0.3249,5.255
candidate_143,7,-7.69,0.3122,6.404
candidate_143,8,-0.93,0.2597,5.192
candidate_143,9,12.97,0.2368,4.727
candidate_144,1,-1.5,0.8291,5.88
candidate_144,2,4.61,0.6081,5.429
candidate_144,3,-0.05,0.606,4.828
candidate_144,4,-1.15,0.6046,5.226
candidate_144,5,3.67,0.5831,5.157
candidate_144,6,5.03,0.5817,4.851
candidate_144,7,-0.64,0.5816,5.016
candidate_144,8,3.99,0.5707,5.593
candidate_144,9,7.18,0.5684,5.818
candidate_145,1,5.42,0.5794,6.237
candidate_145,2,8.7,0.5593,5.701
candidate_145,3,12.7,0.5364,5.415
candidate_145,4,13.53,0.4954,5.1
candidate_145,5,11.82,0.4732,4.911
candidate_145,6,3.71,0.4698,5.605
candidate_145,7,15.82,0.403,4.873
candidate_145,8,17.58,0.3593,5.591
candidate_145,9,5.95,0.3591,5.045
candidate_146,1,13.06,0.515,5.247
candidate_146,2,27.22,0.4196,6.515
candidate_146,3,7.18,0.3927,5.69
candidate_146,4,2.72,0.3857,5.883
candidate_146,5,-3.75,0.3764,6.266
candidate_146,6,4.67,0.3632,5.874
candidate_146,7,-0.38,0.3614,5.579
candidate_146,8,7.6,0.3287,5.6
candidate_146,9,-2.79,0.3213,5.948
candidate_147,1,16.87,0.4351,5.611
candidate_147,2,12.01,0.4029,5.804
candidate_147,3,3.36,0.3355,5.879
candidate_147,4,13.83,0.3182,5.438
candidate_147,5,7.45,0.3181,5.627
candidate_147,6,1.17,0.2555,5.612
candidate_147,7,7.31,0.2445,5.936
candidate_147,8,11.92,0.2404,5.092
candidate_147,9,15.31,0.219,5.468
candidate_148,1,-8.26,0.9093,7.564
candidate_148,2,-6.05,0.8104,7.298
candidate_148,3,-7.06,0.5728,7.413
candidate_148,4,-3.92,0.5111,6.472
candidate_148,5,2.54,0.4773,6.117
candidate_148,6,-7.46,0.4692,6.396
candidate_148,7,4.31,0.4122,6.252
candidate_148,8,7.54,0.3995,6.103
candidate_148,9,-2.05,0.3993,6.405
candidate_149,1,16.27,0.5254,6.002
candidate_149,2,13.47,0.4909,5.827
candidate_149,3,7.91,0.4834,5.747
candidate_149,4,19.56,0.3729,5.529
candidate_149,5,13.1,0.3443,5.305
candidate_149,6,9.03,0.2939,5.686
candidate_149,7,34.91,0.2901,5.809
candidate_149,8,17.28,0.2273,5.764
candidate_149,9,-2.13,0.2114,4.842
candidate_15,1,-1.52,0.8369,5.26
candidate_15,2,20.41,0.5751,6.828
candidate_15,3,5.28,0.5702,5.746
candidate_15,4,5.42,0.5634,4.855
candidate_15,5,-0.5,0.5566,5.409
candidate_15,6,15.8,0.5557,5.712
candidate_15,7,11.23,0.5356,4.717
candidate_15,8,4.45,0.5003,5.76
candidate_15,9,12.98,0.4889,5.506
candidate_150,1,-6.42,0.9724,7.365
candidate_150,2,-7.71,0.9698,7.486
candidate_150,3,-8.46,0.9589,7.377
candidate_150,4,-7.26,0.9254,6.998
candidate_150,5,-6.71,0.9201,7.003
candidate_150,6,1.76,0.8929,7.077
candidate_150,7,-4.7,0.8806,6.936
candidate_150,8,-7.53,0.8757,6.911
candidate_150,9,-7.7,0.863,7.16
candidate_151,1,7.52,0.421,5.356
candidate_151,2,-1.92,0.3869,5.135
candidate_151,3,8.08,0.3191,5.183
candidate_151,4,7.2,0.2815,5.666
candidate_151,5,11.99,0.2743,4.86
candidate_151,6,0.3,0.2453,5.703
candidate_151,7,43.57,0.2432,5.723
candidate_151,8,5.8,0.2255,5.4
candidate_151,9,13.52,0.2133,4.852
candidate_152,1,37.9,0.3708,5.702
candidate_152,2,-7.08,0.1814,5.575
candidate_152,3,37.48,0.1793,4.553
candidate_152,4,29.55,0.1439,5.71
candidate_152,5,3.24,0.1365,4.996
candidate_152,6,-0.31,0.1266,5.077
candidate_152,7,12.55,0.1079,4.714
candidate_152,8,12.53,0.0975,4.809
candidate_152,9,-4.41,0.0962,4.917
candidate_153,1,4.86,0.5761,5.52
candidate_153,2,-3.83,0.5667,5.912
candidate_153,3,13.05,0.5512,5.617
candidate_153,4,3.19,0.5502,5.566
candidate_153,5,5.22,0.5335,6.091
candidate_153,6,9.54,0.5077,5.77
candidate_153,7,2.84,0.4975,5.947
candidate_153,8,4.46,0.4877,5.757
candidate_153,9,-2.55,0.4813,5.658
candidate_154,1,4.59,0.5987,5.163
candidate_154,2,5.17,0.5433,5.578
candidate_154,3,5.91,0.534,5.459
candidate_154,4,12.7,0.5235,5.296
candidate_154,5,7.31,0.5156,5.43
candidate_154,6,8.05,0.5088,4.9
candidate_154,7,6.42,0.4855,4.91
candidate_154,8,0.06,0.4791,5.372
candidate_154,9,20.24,0.4735,5.119
candidate_155,1,14.35,0.635,6.774
candidate_155,2,-2.8,0.4341,4.503
candidate_155,3,8.0,0.423,4.807
candidate_155,4,13.58,0.3719,5.531
candidate_155,5,4.44,0.3595,6.57
candidate_155,6,9.03,0.315,5.365
candidate_155,7,21.17,0.2993,5.029
candidate_155,8,19.04,0.2856,5.547
candidate_155,9,10.92,0.277,5.119
candidate_156,1,-0.35,0.8248,5.041
candidate_156,2,55.17,0.4423,6.372
candidate_156,3,23.75,0.4343,5.697
candidate_156,4,11.58,0.3919,5.131
candidate_156,5,35.53,0.3738,5.705
candidate_156,6,22.15,0.3382,5.152
candidate_156,7,14.83,0.3106,4.721
candidate_156,8,18.75,0.3051,5.475
candidate_156,9,8.41,0.2975,5.338
candidate_157,1,20.52,0.4512,5.508
candidate_157,2,39.98,0.3429,4.921
candidate_157,3,35.35,0.3033,5.918
candidate_157,4,26.46,0.2645,6.065
candidate_157,5,20.64,0.2333,5.205
candidate_157,6,13.03,0.2156,5.077
candidate_157,7,-1.12,0.1555,5.405
candidate_157,8,21.91,0.1474,4.886
candidate_157,9,28.68,0.1252,4.868
candidate_158,1,12.49,0.5165,5.493
candidate_158,2,15.38,0.51,5.672
candidate_158,3,11.17,0.4764,5.422
candidate_158,4,-5.38,0.4658,6.908
candidate_158,5,16.25,0.4322,5.309
candidate_158,6,16.11,0.401,5.35
candidate_158,7,28.1,0.388,5.127
candidate_158,8,13.09,0.3688,5.549
candidate_158,9,15.57,0.3377,4.662
candidate_159,1,66.51,0.5086,6.263
candidate_159,2,13.91,0.4895,5.989
candidate_159,3,4.0,0.4535,6.13
candidate_159,4,9.65,0.4424,5.517
candidate_159,5,20.14,0.4193,5.552
candidate_159,6,4.15,0.4103,6.025
candidate_159,7,6.24,0.3646,5.576
candidate_159,8,25.04,0.3617,4.915
candidate_159,9,9.89,0.3363,4.949
candidate_16,1,-6.75,0.756,7.012
candidate_16,2,-4.79,0.6513,6.73
candidate_16,3,-6.71,0.6379,6.972
candidate_16,4,10.83,0.5643,4.832
candidate_16,5,7.96,0.563,5.508
candidate_16,6,12.63,0.5556,5.032
candidate_16,7,7.21,0.5542,5.172
candidate_16,8,20.32,0.5328,6.248
candidate_16,9,11.71,0.5213,5.146
candidate_160,1,17.88,0.5664,6.15
candidate_160,2,10.23,0.5565,5.356
candidate_160,3,9.24,0.5355,5.216
candidate_160,4,8.42,0.463,5.408
candidate_160,5,3.35,0.4559,5.177
candidate_160,6,9.35,0.4234,5.04
candidate_160,7,66.36,0.4054,5.554
candidate_160,8,17.1,0.3862,4.792
candidate_160,9,15.06,0.3834,4.838
candidate_161,1,21.77,0.668,6.007
candidate_161,2,13.36,0.6018,5.695
candidate_161,3,4.84,0.5734,5.484
candidate_161,4,16.49,0.5241,5.008
candidate_161,5,-2.51,0.5209,5.243
candidate_161,6,18.84,0.5209,5.259
candidate_161,7,8.11,0.516,5.323
candidate_161,8,8.82,0.5006,5.224
candidate_161,9,14.9,0.4721,5.276
candidate_162,1,19.22,0.5419,5.903
candidate_162,2,4.24,0.5066,6.235
candidate_162,3,5.82,0.4527,7.243
candidate_162,4,23.81,0.4077,5.505
candidate_162,5,10.05,0.3862,4.589
candidate_162,6,-7.49,0.362,6.91
candidate_162,7,2.53,0.2303,5.071
candidate_162,8,21.28,0.2277,5.149
candidate_162,9,12.5,0.2253,4.407
candidate_163,1,-2.53,0.6359,6.899
candidate_163,2,-5.53,0.6331,7.116
candidate_163,3,12.98,0.5686,6.184
candidate_163,4,18.66,0.544,6.187
candidate_163,5,19.76,0.5065,6.19
candidate_163,6,5.42,0.4745,6.362
candidate_163,7,0.43,0.4587,6.174
candidate_163,8,4.16,0.4559,6.668
candidate_163,9,1.59,0.4489,6.741
candidate_164,1,-6.29,0.8685,7.176
candidate_164,2,30.31,0.8035,6.488
candidate_164,3,21.33,0.6833,6.361
candidate_164,4,3.87,0.6323,5.289
candidate_164,5,34.1,0.6115,6.38
candidate_164,6,0.18,0.5951,5.129
candidate_164,7,12.52,0.584,5.848
candidate_164,8,18.56,0.5344,5.498
candidate_164,9,-6.16,0.5149,6.543
candidate_165,1,4.42,0.5299,6.04
candidate_165,2,5.86,0.5269,6.362
