Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_1,1,11.84,0.5952,5.314
candidate_1,2,9.58,0.541,5.477
candidate_1,3,10.14,0.5162,5.256
candidate_1,4,10.05,0.4919,5.296
candidate_1,5,6.82,0.4631,5.392
candidate_1,6,9.28,0.4345,4.981
candidate_1,7,7.44,0.4194,5.487
candidate_1,8,9.61,0.3825,5.572
candidate_1,9,15.26,0.3659,5.032
candidate_10,1,-6.04,0.8879,7.428
candidate_10,2,-6.49,0.7301,7.276
candidate_10,3,14.03,0.6971,6.795
candidate_10,4,4.49,0.5398,5.213
candidate_10,5,11.56,0.4832,4.992
candidate_10,6,16.93,0.4559,5.715
candidate_10,7,3.78,0.4513,5.485
candidate_10,8,5.36,0.4447,5.712
candidate_10,9,17.75,0.4396,5.326
candidate_100,1,-7.42,0.9619,7.853
candidate_100,2,-7.4,0.9125,7.605
candidate_100,3,-7.12,0.8685,7.492
candidate_100,4,10.77,0.7473,6.881
candidate_100,5,14.55,0.6858,6.341
candidate_100,6,7.8,0.5807,6.231
candidate_100,7,18.14,0.5676,6.498
candidate_100,8,14.07,0.536,5.873
candidate_100,9,7.6,0.5258,5.941
candidate_101,1,33.8,0.6253,6.445
candidate_101,2,2.42,0.5648,5.963
candidate_101,3,3.58,0.5633,5.379
candidate_101,4,8.68,0.5577,5.692
candidate_101,5,-0.19,0.5317,5.62
candidate_101,6,-5.43,0.5285,6.25
candidate_101,7,5.0,0.5208,5.044
candidate_101,8,1.39,0.4721,6.495
candidate_101,9,14.27,0.4706,5.406
candidate_102,1,14.2,0.3327,4.928
candidate_102,2,9.8,0.2809,5.234
candidate_102,3,-5.45,0.2748,6.298
candidate_102,4,4.93,0.2571,5.014
candidate_102,5,3.91,0.2493,5.203
candidate_102,6,20.56,0.2245,4.694
candidate_102,7,1.71,0.222,5.338
candidate_102,8,11.17,0.2169,5.181
candidate_102,9,-6.13,0.2108,5.268
candidate_103,1,-7.35,0.7577,7.493
candidate_103,2,16.5,0.5292,6.016
candidate_103,3,6.63,0.5192,6.803
candidate_103,4,-1.94,0.5164,5.228
candidate_103,5,4.58,0.4576,6.735
candidate_103,6,-1.43,0.4413,4.793
candidate_103,7,13.93,0.4352,5.869
candidate_103,8,13.42,0.4173,6.049
candidate_103,9,0.68,0.4072,6.415
candidate_104,1,-7.61,0.5821,7.086
candidate_104,2,-7.77,0.582,7.007
candidate_104,3,12.83,0.5685,6.276
candidate_104,4,18.93,0.4615,5.521
candidate_104,5,4.14,0.4306,5.785
candidate_104,6,13.03,0.4293,5.815
candidate_104,7,22.9,0.3666,5.642
candidate_104,8,13.31,0.3663,5.132
candidate_104,9,15.88,0.3238,5.301
candidate_105,1,16.61,0.6165,5.19
candidate_105,2,16.61,0.6078,5.563
candidate_105,3,23.55,0.575,5.131
candidate_105,4,8.68,0.5732,5.57
candidate_105,5,17.26,0.555,5.717
candidate_105,6,14.25,0.5508,5.443
candidate_105,7,23.56,0.5487,5.113
candidate_105,8,79.58,0.5455,5.84
candidate_105,9,13.42,0.5386,5.262
candidate_106,1,24.83,0.3916,4.898
candidate_106,2,32.72,0.3607,6.031
candidate_106,3,10.9,0.3318,4.941
candidate_106,4,21.54,0.2799,5.69
candidate_106,5,10.49,0.2592,4.642
candidate_106,6,7.33,0.2289,4.888
candidate_106,7,45.58,0.221,5.406
candidate_106,8,6.3,0.1982,4.968
candidate_106,9,2.11,0.1976,5.752
candidate_107,1,7.68,0.4895,4.865
candidate_107,2,10.48,0.4254,5.356
candidate_107,3,14.24,0.3925,5.652
candidate_107,4,14.22,0.3676,4.87
candidate_107,5,7.96,0.3462,5.507
candidate_107,6,11.44,0.3397,4.773
candidate_107,7,11.27,0.3278,4.414
candidate_107,8,2.53,0.3208,5.082
candidate_107,9,0.53,0.3069,5.216
candidate_108,1,16.12,0.6173,6.25
candidate_108,2,22.15,0.4695,6.672
candidate_108,3,25.33,0.4523,6.512
candidate_108,4,13.27,0.4521,6.296
candidate_108,5,9.38,0.4012,6.102
candidate_108,6,16.34,0.367,5.988
candidate_108,7,18.14,0.3346,6.156
candidate_108,8,15.84,0.3344,4.073
candidate_108,9,19.67,0.3344,6.015
candidate_109,1,-8.35,0.7291,7.402
