Domain,Ligand,Replica,Frame,vdW,Elec,Polar_Solv,NonPolar_Solv,Total_dG
JH1,227,3,019,-43.03939999999969,0.0,11.886599999999817,-4.615070400000008,-35.7678703999999
JH1,227,3,020,-42.76450000000013,0.0,11.63059999999996,-4.780677599999999,-35.91457760000028
JH1,227,3,021,-41.48129999999989,0.0,13.144100000000437,-4.868007839999996,-33.20520783999944
JH1,227,3,022,-44.1311,0.0,12.126900000000203,-5.477083919999993,-37.48128391999975
JH1,227,3,023,-41.99240000000055,0.0,12.6567,-4.927966559999996,-34.26366656000036
JH1,227,3,024,-44.00090000000003,0.0,12.886399999999869,-4.95142776,-36.06592776000007
JH1,227,3,025,-43.40369999999979,0.0,13.81979999999976,-5.201592479999988,-34.78549248000003
JH1,227,3,026,-40.13989999999989,0.0,11.576900000000023,-4.849137359999991,-33.412137359999804
JH1,227,3,027,-43.52230000000016,0.0,12.622200000000248,-5.132910959999996,-36.03301095999994
JH1,227,3,028,-38.59729999999966,0.0,11.211099999999988,-4.572218880000005,-31.958418879999595
JH1,227,3,029,-38.85930000000006,0.0,11.28189999999995,-4.463267759999992,-32.04066776000011
JH1,227,3,030,-39.55290000000012,0.0,11.935199999999895,-4.763928239999999,-32.38162824000022
JH1,227,3,031,-42.01160000000013,0.0,12.67410000000018,-5.0197824,-34.35728239999999
JH1,227,3,032,-41.89089999999964,0.0,11.657200000000104,-4.889706480000015,-35.1234064799997
JH1,227,3,033,-42.60979999999974,0.0,13.454000000000178,-5.238105839999996,-34.393905839999505
JH1,227,3,034,-43.604500000000215,0.0,13.04509999999982,-5.266916640000018,-35.826316640000485
JH1,227,3,035,-49.31470000000013,0.0,14.295200000000024,-5.724837360000008,-40.74433736000009
JH1,227,3,036,-49.44419999999983,0.0,14.497199999999792,-6.030262079999989,-40.97726208000016
JH1,227,3,037,-43.13839999999991,0.0,13.702899999999772,-5.092830719999995,-34.5284307200001
JH1,227,3,038,-44.53909999999992,0.0,12.70659999999998,-5.443719119999992,-37.276119119999954
JH1,227,3,039,-45.84259999999999,0.0,14.606700000000274,-5.47436448,-36.71026447999957
JH1,227,3,040,-45.81820000000002,0.0,13.193900000000212,-5.231641679999992,-37.85594167999989
JH1,227,3,041,-41.527799999999694,0.0,11.602700000000368,-5.021799840000007,-34.9468998399994
JH1,227,3,042,-44.84980000000019,0.0,13.732700000000024,-5.196127680000007,-36.3132276800001
JH1,227,3,043,-45.84900000000026,0.0,12.488800000000085,-5.299221599999992,-38.65942160000005
JH1,227,3,044,-41.30689999999965,0.0,11.453500000000076,-4.476306960000012,-34.32970695999972
JH1,227,3,045,-43.09590000000001,0.0,12.362100000000282,-5.117487840000003,-35.851287839999785
JH1,227,3,046,-50.71169999999982,0.0,15.81899999999996,-6.024168720000001,-40.9169687199998
JH1,227,3,047,-39.69969999999962,0.0,12.023999999999887,-4.564131839999995,-32.23983183999983
JH1,227,3,048,-41.46010000000008,0.0,12.189300000000005,-4.638188880000002,-33.90898888000008
JH1,227,3,049,-36.409200000000034,0.0,10.378600000000006,-4.163107680000001,-30.193707680000024
JH1,227,3,050,-45.4952999999999,0.0,13.196599999999762,-5.236383599999995,-37.5350836000001
JH1,227,3,051,-41.54879999999988,0.0,11.751500000000306,-4.835613600000016,-34.63291359999974
JH1,227,3,052,-44.727999999999966,0.0,13.341699999999946,-5.252530319999989,-36.638830319999954
JH1,227,3,053,-44.270600000000016,0.0,12.422000000000024,-4.991881680000011,-36.8404816800001
JH1,227,3,054,-44.718799999999895,0.0,15.697699999999712,-5.69294999999999,-34.714050000000206
JH1,227,3,055,-41.944400000000165,0.0,14.015000000000327,-5.194004400000001,-33.1234043999998
JH1,227,3,056,-40.3313000000001,0.0,12.847800000000008,-4.846246560000006,-32.329746560000046
JH1,227,3,057,-44.70419999999997,0.0,13.08660000000009,-5.223963599999999,-36.84156359999974
JH1,227,3,058,-42.5043999999999,0.0,12.527700000000095,-5.218331040000008,-35.194931039999894
JH1,227,3,059,-44.56609999999951,0.0,14.642100000000028,-5.409827280000004,-35.33382727999963
JH1,227,3,060,-41.10800000000008,0.0,12.811499999999796,-5.144977439999993,-33.441477440000405
JH1,227,3,061,-46.36050000000008,0.0,15.131400000000212,-5.518957680000008,-36.74805767999973
JH1,227,3,062,-42.23709999999976,0.0,12.88740000000007,-5.229853200000004,-34.579553199999715
JH1,227,3,063,-42.18940000000009,0.0,12.565100000000257,-5.071471199999999,-34.69587119999977
JH1,227,3,064,-44.32439999999987,0.0,13.94959999999992,-5.273311680000001,-35.64811168
JH1,227,3,065,-45.13530000000028,0.0,15.310100000000148,-5.826671280000006,-35.65187128000021
JH1,227,3,066,-42.66600000000023,0.0,13.301600000000237,-5.096298240000005,-34.4606982400001
JH1,227,3,067,-39.812599999999975,0.0,12.362500000000182,-4.903981920000007,-32.354081919999885
JH1,227,3,068,-47.03139999999999,0.0,13.752200000000355,-5.492216160000005,-38.77141615999968
JH1,227,3,069,-45.14099999999978,0.0,14.688500000000204,-5.297240879999991,-35.74974087999963
JH1,227,3,070,-45.372700000000094,0.0,12.614200000000436,-5.245898400000007,-38.00439839999966
JH1,227,3,071,-47.13120000000036,0.0,14.917300000000068,-5.678421840000008,-37.89232184000017
JH1,227,3,072,-45.34819999999987,0.0,14.180299999999988,-5.321167919999999,-36.48896792000002
JH1,227,3,073,-41.66549999999981,0.0,11.916699999999764,-4.838728319999996,-34.58762832000002
JH1,227,3,074,-44.450799999999816,0.0,13.364700000000084,-5.381962560000019,-36.46806255999976
JH1,227,3,075,-42.51420000000028,0.0,12.749299999999948,-5.072119200000007,-34.83701920000024
JH1,227,3,076,-41.315699999999744,0.0,12.8746000000001,-4.802531039999991,-33.24363103999964
JH1,227,3,077,-44.45959999999998,0.0,14.27390000000014,-5.258784959999986,-35.44448495999981
JH1,227,3,078,-47.92529999999979,0.0,13.659599999999957,-5.491363680000006,-39.75706367999987
JH1,227,3,079,-42.6285,0.0,12.152000000000044,-5.226561360000018,-35.70306136000004
JH1,227,3,080,-43.12650000000004,0.0,12.736199999999826,-5.0671224000000095,-35.45742240000016
JH1,227,3,081,-43.54940000000006,0.0,12.654399999999896,-5.29585848,-36.19085848000028
JH1,227,3,082,-43.57019999999987,0.0,14.307600000000091,-5.048335440000002,-34.31093543999984
JH1,227,3,083,-43.37400000000026,0.0,12.838400000000092,-5.105422080000001,-35.64102208000011
JH1,227,3,084,-40.27659999999982,0.0,11.543499999999767,-4.876575119999995,-33.60967512000005
